feature,log_OR,OR,q_value
Function:Binding site,3.2943548676509637,26.96001568012544,2.953761230680628e-72
PI:NB_intra,1.830225750055851,6.235294117647059,7.202282386989092e-243
pLDDT:Very high,1.41394740060797,4.112155734484401,1.4866296774383982e-156
Domain:Domain,0.410100381377452,1.5069690491496115,2.9412247385442894e-12
RSA:Medium-buried,-0.2233876119709168,0.7998047752989378,0.000817452437721
RefAA:Positively-Charged,-0.2827683857907187,0.7536943339624587,1.0352385354285486e-05
AAchange:Positively-Charged>Polar/Neutral,-0.4539009913414843,0.6351456150482634,3.611789370007516e-05
Grantham:Mild,-0.983591019915025,0.3739657662249405,1.0478981442374257e-75
