score_col	pfes_value	p_case	p_control
PFES	-18.74	0.0	0.999987
PFES	-18.735754	0.0	0.999987
PFES	-18.731507	0.0	0.999987
PFES	-18.727261	0.0	0.999987
PFES	-18.723014	0.0	0.999986
PFES	-18.718768	0.0	0.999986
PFES	-18.714521	0.0	0.999986
PFES	-18.710275	0.0	0.999986
PFES	-18.706029	0.0	0.999986
PFES	-18.701782	0.0	0.999986
PFES	-18.697536	0.0	0.999986
PFES	-18.693289	0.0	0.999985
PFES	-18.689043	0.0	0.999985
PFES	-18.684796	0.0	0.999985
PFES	-18.68055	0.0	0.999985
PFES	-18.676304	0.0	0.999985
PFES	-18.672057	0.0	0.999985
PFES	-18.667811	0.0	0.999985
PFES	-18.663564	0.0	0.999984
PFES	-18.659318	0.0	0.999984
PFES	-18.655072	0.0	0.999984
PFES	-18.650825	0.0	0.999984
PFES	-18.646579	0.0	0.999984
PFES	-18.642332	0.0	0.999984
PFES	-18.638086	0.0	0.999984
PFES	-18.633839	0.0	0.999983
PFES	-18.629593	0.0	0.999983
PFES	-18.625347	0.0	0.999983
PFES	-18.6211	0.0	0.999983
PFES	-18.616854	0.0	0.999983
PFES	-18.612607	0.0	0.999983
PFES	-18.608361	0.0	0.999982
PFES	-18.604114	0.0	0.999982
PFES	-18.599868	0.0	0.999982
PFES	-18.595622	0.0	0.999982
PFES	-18.591375	0.0	0.999982
PFES	-18.587129	0.0	0.999982
PFES	-18.582882	0.0	0.999981
PFES	-18.578636	0.0	0.999981
PFES	-18.574389	0.0	0.999981
PFES	-18.570143	0.0	0.999981
PFES	-18.565897	0.0	0.999981
PFES	-18.56165	0.0	0.999981
PFES	-18.557404	0.0	0.99998
PFES	-18.553157	0.0	0.99998
PFES	-18.548911	0.0	0.99998
PFES	-18.544664	0.0	0.99998
PFES	-18.540418	0.0	0.99998
PFES	-18.536172	0.0	0.999979
PFES	-18.531925	0.0	0.999979
PFES	-18.527679	0.0	0.999979
PFES	-18.523432	0.0	0.999979
PFES	-18.519186	0.0	0.999979
PFES	-18.514939	0.0	0.999979
PFES	-18.510693	0.0	0.999978
PFES	-18.506447	0.0	0.999978
PFES	-18.5022	0.0	0.999978
PFES	-18.497954	0.0	0.999978
PFES	-18.493707	0.0	0.999978
PFES	-18.489461	0.0	0.999977
PFES	-18.485215	0.0	0.999977
PFES	-18.480968	0.0	0.999977
PFES	-18.476722	0.0	0.999977
PFES	-18.472475	0.0	0.999977
PFES	-18.468229	0.0	0.999976
