,"chromatin,chromatin-binding,_or_-regulatory_protein",structural_protein,extracellular_matrix_protein,"defense,immunity_protein",metabolite_interconversion_enzyme,cell_adhesion_molecule,"scaffold,adaptor_protein",intercellular_signal_molecule,DNA_metabolism_protein,RNA_metabolism_protein,transmembrane_signal_receptor,cytoskeletal_protein,membrane_traffic_protein,transporter,gene-specific_transcriptional_regulator,protein-binding_activity_modulator,protein_modifying_enzyme,unclassified
Negatively-Charged>Positively-Charged,1.42,1.36,0.59,1.72,1.37,2.87,1.69,0.89,0.92,1.47,2.05,2.11,1.85,1.47,1.13,0.98,1.33,1.21
Negatively-Charged>Negatively-Charged,0.35,1.3,0.15,0.24,0.52,1.28,0.97,0.49,0.58,0.21,0.83,0.63,0.77,0.52,0.24,0.22,0.52,0.47
Negatively-Charged>Special,0.98,6.26,0.89,0.73,1.2,2.63,1.62,0.73,0.68,1.28,2.78,1.21,1.38,0.86,0.86,0.96,1.38,1.42
Special>Aliphatic,0.62,1.8,1.91,1.4,1.46,1.61,0.77,1.45,1.31,0.99,1.64,0.93,1.0,1.07,0.7,0.84,1.09,0.81
Special>Aromatic,15.89,2.12,46.66,6.9,4.09,16.09,5.98,11.06,3.37,2.25,4.39,1.68,4.94,1.9,2.92,3.51,5.92,6.49
Special>Polar/Neutral,0.64,0.67,1.58,1.75,0.9,0.97,0.88,1.64,0.72,0.5,1.06,0.58,0.66,0.67,0.54,0.55,0.89,0.73
Special>Positively-Charged,1.65,1.09,5.5,4.38,2.25,3.81,1.7,1.5,1.68,1.63,2.56,1.56,1.39,2.23,1.18,1.69,2.57,1.88
Special>Negatively-Charged,1.08,2.31,17.06,1.27,2.72,2.66,1.55,2.76,2.09,1.78,2.06,1.85,3.02,2.78,0.91,1.85,1.58,1.51
Special>Special,1.38,5.22,40.57,3.3,3.79,9.64,5.61,8.51,4.75,3.9,5.86,1.82,0.72,3.45,2.22,4.03,2.46,5.43
Mild,0.51,0.42,0.09,0.43,0.39,0.41,0.57,0.33,0.52,0.55,0.36,0.48,0.5,0.43,0.59,0.41,0.41,0.44
Moderate,0.81,1.02,0.69,0.79,1.01,0.75,0.81,0.67,0.91,0.79,0.9,1.06,0.98,0.9,0.67,0.99,0.82,0.81
Substantial,2.02,1.97,3.26,1.89,2.25,1.88,1.92,2.02,2.02,2.27,2.07,2.18,1.98,2.55,2.4,2.2,2.46,1.99
Severe,3.51,1.65,10.09,4.25,2.64,5.43,2.37,5.1,2.04,2.52,3.01,1.55,1.91,2.62,2.53,2.26,3.28,3.52
B,2.54,4.62,0.87,26.72,1.76,0.83,6.23,0.54,1.83,3.27,5.85,1.55,3.99,0.98,7.44,1.02,2.11,2.06
E,4.92,7.64,0.64,1.13,1.95,0.97,2.28,2.28,2.59,3.26,3.13,2.14,2.87,1.23,3.51,2.17,2.47,2.99
G,2.98,1.01,0.26,1.32,0.76,1.7,2.27,0.66,1.01,1.49,2.13,1.56,2.45,1.57,2.54,1.94,1.34,1.8
H,3.48,1.71,0.21,0.95,0.95,0.92,1.77,0.63,1.61,1.61,0.57,1.99,1.66,2.2,3.97,1.72,1.4,1.63
I,3.39,,inf,0.0,1.14,0.34,1.45,inf,0.71,5.27,0.69,8.7,2.5,2.66,4.24,0.76,5.06,4.21
P,0.98,0.47,2.25,1.13,0.44,0.99,0.6,0.96,0.48,0.76,1.48,0.44,0.7,0.39,0.81,0.36,0.68,0.55
C,0.17,0.2,1.37,0.75,0.65,0.64,0.34,0.65,0.32,0.33,0.67,0.23,0.32,0.26,0.2,0.34,0.35,0.27
S,2.25,0.57,0.36,0.93,1.3,1.84,1.4,1.17,1.54,1.44,1.23,1.1,1.59,1.22,1.39,1.19,1.49,1.76
T,3.17,1.84,0.15,1.1,1.02,1.38,0.91,1.02,1.49,1.39,1.14,1.94,0.7,1.15,1.22,1.38,1.16,1.47
Core,13.91,14.88,1.49,3.5,5.15,5.64,4.47,5.41,6.94,5.71,4.01,4.48,5.79,6.04,25.62,6.71,6.6,7.94
Buried,7.17,4.68,0.76,1.82,1.79,2.4,3.17,2.08,2.84,3.18,1.88,2.35,3.65,2.57,7.03,2.23,2.79,3.43
Medium-buried,1.51,1.39,0.53,0.63,0.45,0.55,1.02,0.62,0.68,0.99,0.66,1.12,0.98,0.8,1.79,0.83,0.72,1.02
Medium-exposed,0.22,0.24,4.6,0.42,0.16,0.24,0.32,0.47,0.17,0.27,0.29,0.5,0.26,0.2,0.27,0.24,0.19,0.25
Exposed,0.31,0.13,0.18,0.47,0.22,0.19,0.27,0.38,0.22,0.39,0.25,0.17,0.21,0.13,0.21,0.2,0.18,0.18
Very high,8.48,15.51,0.71,0.47,4.05,3.36,4.73,3.47,4.54,3.48,2.48,3.27,2.14,2.4,20.53,4.24,4.24,4.87
Confident,3.53,1.73,0.16,3.82,0.58,0.83,1.2,0.73,1.33,1.64,0.86,1.6,2.69,1.91,1.1,1.22,1.11,1.61
Low,1.28,0.21,0.9,0.97,0.24,0.3,0.52,0.48,0.62,0.81,0.62,0.82,0.55,0.58,0.4,0.45,0.71,0.48
Very low,0.08,0.06,2.4,0.35,0.14,0.16,0.14,0.29,0.09,0.17,0.22,0.07,0.1,0.07,0.08,0.11,0.1,0.09
HB_intra,6.88,10.56,0.81,2.58,3.37,2.67,3.71,2.36,5.39,5.35,1.83,9.85,4.05,5.15,8.15,5.24,5.08,3.96
SB_intra,3.46,7.5,0.3,3.73,1.77,1.85,2.32,1.16,2.79,4.04,6.02,4.95,4.78,3.58,5.93,1.83,3.26,2.52
DS_intra,,,32.57,116.15,inf,inf,inf,10.05,,inf,54.93,,inf,inf,inf,inf,74.53,440.33
NB_intra,6.96,12.14,1.0,3.35,3.64,2.77,4.0,3.03,5.91,5.07,2.0,11.29,3.97,5.95,8.27,5.98,5.88,4.1
HB_inter,12.76,inf,2.65,2.79,2.89,6.2,11.97,24.72,2.04,9.2,5.11,28.32,3.39,6.16,3.27,6.75,6.71,7.55
SB_inter,inf,inf,0.6,3.06,2.21,4.36,inf,inf,4.05,16.63,6.43,23.03,inf,7.4,2.74,10.24,3.83,12.43
DS_inter,,,,,inf,,,inf,,,,,,,,,,inf
NB_inter,18.43,inf,1.71,3.55,4.41,7.42,13.62,36.47,2.09,7.28,6.58,19.72,6.13,4.44,3.64,10.71,7.01,6.95
Active site,,,,,13.35,,,,inf,inf,inf,,,inf,,,19.06,inf
Binding site,32.53,inf,inf,4.39,5.63,79.95,inf,inf,inf,13.48,inf,5.24,52.66,7.03,inf,37.82,38.28,32.11
Site,,,1.96,,inf,inf,inf,inf,inf,inf,3.78,,inf,2.59,inf,7.23,15.58,14.05
DNA binding region,2.24,,0.45,,,,,,inf,0.0,,,,,23.87,,,3.2
Zinc finger,3.51,0.0,,,2.0,,inf,,5.56,0.65,,,0.24,inf,0.75,3.04,2.79,3.78
Region/Disordered,0.15,0.12,1.26,0.06,0.08,1.87,0.16,0.41,0.12,0.18,0.11,0.12,0.12,0.08,0.18,0.09,0.12,0.09
Region/Interaction,2.16,0.16,0.37,inf,0.66,2.06,2.08,inf,0.73,5.35,8.62,0.77,0.81,5.45,4.62,1.94,0.75,1.73
Region/Others,2.05,0.0,2.42,0.1,1.44,0.12,0.98,3.33,1.69,1.23,6.73,0.54,2.21,0.41,2.21,1.48,1.62,1.18
Motif,inf,inf,inf,1.65,1.33,4.75,inf,inf,2.91,2.85,4.26,inf,inf,4.75,2.48,2.97,2.66,2.32
Coiled coil,0.19,0.1,0.01,0.0,0.04,0.0,1.44,0.51,0.52,0.44,0.0,1.28,0.37,0.4,2.73,0.18,0.16,0.43
Compositional bias,0.29,0.13,1.31,0.12,0.06,0.46,0.2,1.02,0.1,0.27,0.13,0.1,0.16,0.07,0.28,0.09,0.13,0.12
Repeat,3.19,0.11,0.03,2.36,0.4,2.62,1.82,0.69,0.84,0.82,2.22,0.32,0.94,4.09,3.93,3.14,0.29,1.17
Domain,11.85,5.73,0.84,3.6,2.11,1.85,2.0,0.93,3.18,3.65,5.22,5.14,3.09,2.12,4.29,1.48,4.28,3.01
Topological domain,,14.59,0.13,0.23,0.53,1.21,2.81,2.4,,0.52,1.49,14.52,1.83,0.72,0.19,2.58,0.86,2.94
Transmembrane,,22.28,0.35,0.45,0.72,0.59,2.47,1.07,,inf,0.55,11.82,2.91,2.49,inf,4.63,4.21,4.32
Intramembrane,,,,,inf,,inf,,,,inf,inf,,6.5,,,inf,14.14
Signal peptide,,0.86,0.46,0.7,0.4,0.49,0.89,0.6,0.0,0.97,0.56,,0.96,0.13,0.0,0.72,0.82,1.0
Transit peptide,,,,,0.33,,0.0,,0.0,0.08,,,0.64,0.0,0.0,0.0,0.62,0.64
Propeptide,,9.47,0.45,0.0,0.13,0.18,0.6,0.28,,,0.0,,,0.74,inf,0.06,0.45,0.65
Peptide,,,,0.0,,,,2.67,,,,0.0,,,,1.1,5.18,1.6
Chain,0.0,0.52,1.22,1.67,2.63,2.66,1.27,1.83,0.32,1.29,1.79,0.0,0.98,9.48,0.59,1.22,1.78,0.86
Lipidation,,,,inf,0.28,,,inf,,,,,,inf,,inf,,inf
Glycosylation,,1.29,0.35,0.36,1.5,0.47,inf,0.52,,,1.3,,,0.92,inf,inf,1.45,1.53
Crosslinks,2.75,,,,inf,,,0.0,,1.55,,inf,,,0.71,0.0,0.86,5.99
Disulfide bond,,inf,118.75,24.91,38.86,89.61,inf,22.94,inf,inf,23.36,inf,inf,13.73,inf,inf,79.12,214.2
Modified residue,0.38,inf,0.53,6.6,1.05,0.0,1.86,0.17,inf,2.98,3.07,3.22,1.08,0.69,1.41,1.48,5.21,1.89
Acetylation,0.92,0.0,0.09,,0.17,0.0,0.67,0.0,0.26,0.91,0.0,2.57,3.24,0.43,0.49,1.94,2.18,1.09
Methylation,2.76,inf,inf,0.0,0.55,0.0,0.83,,0.61,3.61,0.94,2.89,0.0,0.69,1.16,0.55,0.57,0.95
Phosphorylation,0.33,0.45,0.09,0.28,0.32,0.24,0.25,0.46,0.23,0.44,0.7,1.07,0.43,0.33,0.45,0.32,0.6,0.35
SUMOylation,2.75,,inf,,0.66,,0.0,0.0,0.0,2.34,,inf,inf,0.18,0.38,0.0,0.65,1.33
Ubiquitination,1.38,0.0,0.05,0.0,0.15,0.47,0.15,0.11,0.39,0.74,1.04,1.44,0.75,0.15,0.67,1.14,0.56,0.38
O-GalNAc/GlcNAc,,,0.0,0.0,0.33,0.39,0.0,0.0,,,,,,0.0,inf,0.0,0.0,0.53
