,"chromatin,chromatin-binding,_or_-regulatory_protein",structural_protein,extracellular_matrix_protein,"defense,immunity_protein",metabolite_interconversion_enzyme,cell_adhesion_molecule,"scaffold,adaptor_protein",intercellular_signal_molecule,DNA_metabolism_protein,RNA_metabolism_protein,transmembrane_signal_receptor,cytoskeletal_protein,membrane_traffic_protein,transporter,gene-specific_transcriptional_regulator,protein-binding_activity_modulator,protein_modifying_enzyme,unclassified
Aliphatic,0.87,0.83,0.14,0.73,0.8,0.53,0.9,0.83,0.98,0.88,0.64,0.93,0.97,0.83,0.91,1.08,0.83,0.91
Aromatic,3.84,2.45,0.98,1.55,2.38,1.2,2.37,2.11,1.71,1.9,1.69,1.28,2.29,2.93,2.96,3.08,3.07,2.72
Polar/Neutral,0.49,0.7,0.17,0.59,0.71,0.52,0.59,0.5,0.52,0.55,0.65,0.7,0.76,0.77,0.62,0.7,0.54,0.58
Positively-Charged,1.6,0.56,0.15,0.65,0.69,0.46,0.94,0.61,1.3,1.57,0.68,1.06,0.64,0.73,1.66,0.87,0.79,0.85
Negatively-Charged,0.99,1.85,0.58,1.15,1.1,3.72,1.26,0.65,0.85,1.09,1.55,1.38,1.48,1.12,0.78,0.76,1.15,1.13
Special,1.03,1.4,14.5,2.75,1.89,2.87,1.36,2.79,1.57,1.05,2.43,1.1,1.36,1.47,0.88,1.24,1.78,1.47
Aliphatic>Aliphatic,0.38,0.39,0.07,0.5,0.38,0.26,0.49,0.38,0.36,0.54,0.31,0.47,0.44,0.4,0.58,0.34,0.41,0.43
Aliphatic>Aromatic,2.09,2.07,0.16,1.43,1.26,0.62,1.62,0.76,1.11,1.96,0.93,1.33,2.17,1.21,1.46,1.26,1.71,1.49
Aliphatic>Polar/Neutral,0.68,0.65,0.15,0.72,0.76,0.52,0.74,0.79,1.08,0.87,0.64,0.79,0.61,0.79,0.84,0.8,0.69,0.78
Aliphatic>Positively-Charged,10.1,7.96,3.04,3.36,4.33,3.48,7.73,8.88,7.69,3.81,4.13,4.5,4.44,3.84,3.04,17.02,4.97,4.95
Aliphatic>Negatively-Charged,1.17,2.86,0.79,0.73,3.08,2.91,4.67,1.88,3.34,3.77,2.43,1.58,4.18,3.21,1.72,3.27,3.05,3.16
Aliphatic>Special,2.39,2.92,0.38,1.98,2.66,1.93,1.83,2.45,2.64,1.8,2.72,3.87,3.55,2.87,1.41,3.9,2.24,2.52
Aromatic>Aliphatic,1.44,2.62,0.49,0.83,1.4,0.35,1.95,1.08,1.43,1.61,0.89,0.98,1.08,1.87,2.7,3.67,1.58,1.38
Aromatic>Aromatic,0.69,1.29,0.0,0.73,0.39,0.16,0.56,0.11,0.26,1.3,0.56,0.64,inf,1.35,1.42,2.76,1.49,0.8
Aromatic>Polar/Neutral,4.86,4.59,0.75,0.9,4.38,1.5,2.1,2.35,2.18,6.3,1.58,2.65,4.74,6.88,3.78,3.93,6.18,4.14
Aromatic>Positively-Charged,5.8,4.3,0.51,1.17,2.06,1.68,2.47,1.45,1.91,1.32,1.45,0.83,1.55,1.91,2.24,2.45,2.37,2.42
Aromatic>Negatively-Charged,6.21,1.94,inf,3.3,4.78,1.58,1.48,2.77,2.63,3.11,6.63,4.49,inf,inf,11.99,6.65,4.67,6.61
Aromatic>Special,7.21,1.41,3.02,5.96,3.56,4.24,2.83,6.52,1.75,1.62,3.32,1.34,3.73,3.32,2.77,2.24,3.94,3.91
Polar/Neutral>Aliphatic,0.4,0.34,0.09,0.68,0.54,0.35,0.4,0.3,0.59,0.68,0.49,0.59,0.36,0.59,0.49,0.53,0.51,0.42
Polar/Neutral>Aromatic,0.98,1.96,0.67,1.6,2.03,1.03,0.85,0.98,0.55,2.09,1.11,1.59,2.66,2.18,1.78,1.74,1.27,1.7
Polar/Neutral>Polar/Neutral,0.32,0.49,0.16,0.39,0.46,0.34,0.57,0.3,0.3,0.31,0.48,0.46,0.47,0.42,0.41,0.39,0.34,0.36
Polar/Neutral>Positively-Charged,0.98,1.79,0.23,0.35,0.86,1.03,0.91,0.76,0.71,0.77,0.95,0.89,1.54,1.07,1.06,1.2,0.72,0.83
Polar/Neutral>Negatively-Charged,0.43,0.65,0.15,0.14,0.73,0.59,0.64,0.34,0.66,0.77,0.58,0.69,0.33,1.0,0.92,0.64,0.57,0.6
Polar/Neutral>Special,0.71,0.88,0.38,1.51,1.2,1.05,0.76,1.61,0.86,0.49,0.96,1.06,1.67,1.07,0.64,0.87,0.82,0.9
Positively-Charged>Aliphatic,2.34,1.04,0.49,1.83,2.49,0.47,2.88,2.32,2.85,2.68,1.2,3.01,1.39,2.66,2.29,2.23,1.92,2.12
Positively-Charged>Aromatic,1.99,1.3,0.09,0.55,0.65,0.97,1.99,1.0,2.27,1.69,0.8,0.9,1.02,0.91,2.32,0.63,0.76,1.01
Positively-Charged>Polar/Neutral,1.2,0.53,0.11,0.72,0.54,0.35,0.49,0.38,1.13,1.21,0.61,0.79,0.56,0.55,1.24,0.8,0.68,0.63
Positively-Charged>Positively-Charged,0.74,0.23,0.06,0.32,0.38,0.34,0.61,0.29,0.57,1.01,0.33,0.63,0.31,0.39,0.69,0.58,0.41,0.46
Positively-Charged>Negatively-Charged,2.51,1.04,0.15,0.91,1.03,0.2,1.0,0.3,1.15,1.46,1.05,1.13,1.81,1.08,1.8,1.93,1.04,1.21
Positively-Charged>Special,2.38,0.97,0.54,1.17,1.33,0.94,1.63,1.64,2.15,2.03,1.26,1.99,0.85,1.25,2.84,1.16,1.7,1.59
Negatively-Charged>Aliphatic,2.88,1.2,1.29,2.44,1.66,6.36,1.76,0.47,1.02,2.18,1.29,2.16,2.29,2.48,1.76,1.87,2.0,1.85
Negatively-Charged>Aromatic,1.15,3.92,1.56,1.46,9.83,38.89,1.75,inf,2.37,13.34,6.78,3.41,4.33,9.94,3.07,2.68,4.3,4.88
Negatively-Charged>Polar/Neutral,1.12,1.47,0.47,1.04,0.66,3.47,0.48,0.43,1.0,0.82,0.91,0.82,0.91,0.91,0.65,0.52,0.76,0.81
