HGNC_id	HGNC_symbol	HGNC_alias	UniprotKB_Entry	Locus_group
HGNC:5	A1BG	not-available	P04217	protein-coding gene
HGNC:24086	A1CF	ACF64;ACF65;APOBEC1CF;ASP;ACF	Q9NQ94	protein-coding gene
HGNC:7	A2M	CPAMD5;S863-7;FWP007	P01023	protein-coding gene
HGNC:23336	A2ML1	FLJ25179;p170	A8K2U0	protein-coding gene
HGNC:30005	A3GALT2	IGBS3S;IGB3S	U3KPV4	protein-coding gene
HGNC:18149	A4GALT	P(k);Gb3S;A14GALT	Q9NPC4	protein-coding gene
HGNC:17968	A4GNT	alpha4GnT	Q9UNA3	protein-coding gene
HGNC:13666	AAAS	not-available	Q9NRG9	protein-coding gene
HGNC:21298	AACS	ACSF1;FLJ12389;SUR-5	Q86V21	protein-coding gene
HGNC:17	AADAC	CES5A1;DAC	P22760	protein-coding gene
HGNC:24427	AADACL2	MGC72001	Q6P093	protein-coding gene
HGNC:32037	AADACL3	OTTHUMG00000001887	Q5VUY0	protein-coding gene
HGNC:32038	AADACL4	OTTHUMG00000001889	Q5VUY2	protein-coding gene
HGNC:17929	AADAT	KATII;KAT2;KYAT2	Q8N5Z0	protein-coding gene
HGNC:25662	AAGAB	FLJ11506;p34	Q6PD74	protein-coding gene
HGNC:19679	AAK1	DKFZp686K16132;KIAA1048	Q2M2I8	protein-coding gene
HGNC:30205	AAMDC	CK067;PTD015;FLJ21035	Q9H7C9	protein-coding gene
HGNC:18	AAMP	not-available	Q13685	protein-coding gene
HGNC:19	AANAT	SNAT	Q16613	protein-coding gene
HGNC:15886	AAR2	bA234K24.2	Q9Y312	protein-coding gene
HGNC:33842	AARD	LOC441376	Q4LEZ3	protein-coding gene
HGNC:20	AARS1	CMT2N;AlaRS	P49588	protein-coding gene
HGNC:21022	AARS2	KIAA1270;bA444E17.1	Q5JTZ9	protein-coding gene
HGNC:28417	AARSD1	AlaXp;MGC2744	Q9BTE6	protein-coding gene
HGNC:23993	AASDH	ACSF4;NRPS998;LYS2	Q4L235	protein-coding gene
HGNC:14235	AASDHPPT	AASD-PPT;LYS5;CGI-80;ACPS	Q9NRN7	protein-coding gene
HGNC:17366	AASS	LORSDH;LKRSDH	Q9UDR5	protein-coding gene
HGNC:19235	AATF	DED;CHE-1;CHE1;BFR2	Q9NY61	protein-coding gene
HGNC:21	AATK	AATYK;KIAA0641;PPP1R77;AATYK1;LMTK1;LMR1	Q6ZMQ8	protein-coding gene
HGNC:23	ABAT	GABA-T;GABAT	P80404	protein-coding gene
HGNC:29	ABCA1	TGD	O95477	protein-coding gene
HGNC:30	ABCA10	EST698739	Q8WWZ4	protein-coding gene
HGNC:14637	ABCA12	LI2;DKFZP434G232	Q86UK0	protein-coding gene
HGNC:14638	ABCA13	FLJ33951;FLJ33876	Q86UQ4	protein-coding gene
HGNC:32	ABCA2	not-available	Q9BZC7	protein-coding gene
HGNC:33	ABCA3	ABC-C;EST111653;LBM180	Q99758	protein-coding gene
HGNC:34	ABCA4	ARMD2;FFM;CORD3	P78363	protein-coding gene
HGNC:35	ABCA5	EST90625	Q8WWZ7	protein-coding gene
HGNC:36	ABCA6	EST155051	Q8N139	protein-coding gene
HGNC:37	ABCA7	ABCX	Q8IZY2	protein-coding gene
HGNC:38	ABCA8	KIAA0822	O94911	protein-coding gene
HGNC:39	ABCA9	EST640918	Q8IUA7	protein-coding gene
HGNC:40	ABCB1	P-gp;p-170;PGY1;ABC20;GP170;CD243	P08183	protein-coding gene
HGNC:41	ABCB10	MTABC2;M-ABC2;EST20237	Q9NRK6	protein-coding gene
HGNC:42	ABCB11	SPGP;ABC16;PGY4;PFIC-2	O95342	protein-coding gene
HGNC:45	ABCB4	PFIC-3;GBD1;MDR2	P21439	protein-coding gene
HGNC:46	ABCB5	ABCB5alpha;EST422562;ABCB5beta	Q2M3G0	protein-coding gene
HGNC:47	ABCB6	umat;EST45597;MTABC3	Q9NP58	protein-coding gene
HGNC:48	ABCB7	ASAT;EST140535;Atm1p	O75027	protein-coding gene
HGNC:49	ABCB8	MABC1;EST328128;MITOSUR;M-ABC1	Q9NUT2	protein-coding gene
HGNC:50	ABCB9	EST122234	Q9NP78	protein-coding gene
HGNC:51	ABCC1	GS-X	P33527	protein-coding gene
HGNC:52	ABCC10	EST182763;MRP7;SIMRP7	Q5T3U5	protein-coding gene
HGNC:14639	ABCC11	MRP8	Q96J66	protein-coding gene
HGNC:14640	ABCC12	MRP9	Q96J65	protein-coding gene
HGNC:53	ABCC2	cMRP;DJS;MRP2	Q92887	protein-coding gene
HGNC:54	ABCC3	MLP2;MRP3;cMOAT2;MOAT-D;EST90757	O15438	protein-coding gene
HGNC:55	ABCC4	MOATB;MRP4;MOAT-B;EST170205	O15439	protein-coding gene
HGNC:56	ABCC5	MOAT-C;SMRP;MRP5;EST277145	O15440	protein-coding gene
HGNC:57	ABCC6	MRP6;URG7;MLP1;EST349056	O95255	protein-coding gene
HGNC:59	ABCC8	MRP8;ABC36;SUR1;PHHI;TNDM2;HI;HHF1	Q09428	protein-coding gene
HGNC:60	ABCC9	CMD1O;SUR2	O60706	protein-coding gene
HGNC:61	ABCD1	AMN;ALDP;adrenoleukodystrophy	P33897	protein-coding gene
HGNC:66	ABCD2	ALDRP;ALDR	Q9UBJ2	protein-coding gene
HGNC:67	ABCD3	PMP70;ZWS2	P28288	protein-coding gene
HGNC:68	ABCD4	PMP69;P70R;EST352188	O14678	protein-coding gene
HGNC:69	ABCE1	RLI1;RLI;OABP	P61221	protein-coding gene
HGNC:70	ABCF1	EST123147	Q8NE71	protein-coding gene
HGNC:71	ABCF2	EST133090;M-ABC1;HUSSY-18;ABC28	Q9UG63	protein-coding gene
HGNC:72	ABCF3	EST201864	Q9NUQ8	protein-coding gene
HGNC:73	ABCG1	ABC8	P45844	protein-coding gene
HGNC:74	ABCG2	MXR;ABCP;CD338;EST157481;BCRP	Q9UNQ0	protein-coding gene
HGNC:13884	ABCG4	WHITE2	Q9H172	protein-coding gene
HGNC:13886	ABCG5	STSL	Q9H222	protein-coding gene
HGNC:13887	ABCG8	GBD4	Q9H221	protein-coding gene
HGNC:17553	ABHD1	LABH1;FLJ36128	Q96SE0	protein-coding gene
HGNC:25656	ABHD10	FLJ11342	Q9NUJ1	protein-coding gene
HGNC:16407	ABHD11	PP1226	Q8NFV4	protein-coding gene
HGNC:15868	ABHD12	DKFZP434P106;ABHD12A;BEM46L2;dJ965G21.2	Q8N2K0	protein-coding gene
HGNC:19837	ABHD12B	BEM46L3	Q7Z5M8	protein-coding gene
HGNC:20293	ABHD13	bA153I24.2;BEM46L1;FLJ14906	Q7L211	protein-coding gene
HGNC:24538	ABHD14A	DKFZP564O243;DORZ1	Q9BUJ0	protein-coding gene
HGNC:28235	ABHD14B	CIB;MGC15429	Q96IU4	protein-coding gene
HGNC:26971	ABHD15	not-available	Q6UXT9	protein-coding gene
HGNC:13921	ABHD16A	D6S82E;NG26	O95870	protein-coding gene
HGNC:16128	ABHD16B	dJ591C20.1	Q9H3Z7	protein-coding gene
HGNC:28756	ABHD17A	MGC5244	Q96GS6	protein-coding gene
HGNC:24278	ABHD17B	CGI-67	Q5VST6	protein-coding gene
