HGNC_id	HGNC_symbol	HGNC_alias	UniprotKB_Entry	Locus_group
HGNC:26925	ABHD17C	not-available	Q6PCB6	protein-coding gene
HGNC:26111	ABHD18	FLJ21106	Q0P651	protein-coding gene
HGNC:18717	ABHD2	LABH2	P08910	protein-coding gene
HGNC:18718	ABHD3	LABH3	Q8WU67	protein-coding gene
HGNC:20154	ABHD4	FLJ12816	Q8TB40	protein-coding gene
HGNC:21396	ABHD5	NCIE2;CGI-58	Q8WTS1	protein-coding gene
HGNC:21398	ABHD6	not-available	Q9BV23	protein-coding gene
HGNC:23759	ABHD8	MGC2512;MGC14280;FLJ11743	Q96I13	protein-coding gene
HGNC:11320	ABI1	ABI-1;E3B1	Q8IZP0	protein-coding gene
HGNC:24011	ABI2	ABI-2;ABI2B;AblBP3;argBPIA;SSH3BP2;AIP-1	Q9NYB9	protein-coding gene
HGNC:29859	ABI3	NESH;SSH3BP3	Q9P2A4	protein-coding gene
HGNC:17265	ABI3BP	NESHBP;TARSH;DKFZP586L2024	Q7Z7G0	protein-coding gene
HGNC:1364	ABITRAM	FLJ20457;CG-8;Simiate	Q9NX38	protein-coding gene
HGNC:76	ABL1	c-ABL;JTK7;p150	P00519	protein-coding gene
HGNC:77	ABL2	ARG	P42684	protein-coding gene
HGNC:78	ABLIM1	limatin;abLIM	O14639	protein-coding gene
HGNC:19195	ABLIM2	KIAA1808	Q6H8Q1	protein-coding gene
HGNC:29132	ABLIM3	KIAA0843	O94929	protein-coding gene
HGNC:79	ABO	A3GALNT;A3GALT1	P16442	protein-coding gene
HGNC:81	ABR	MDB	Q12979	protein-coding gene
HGNC:30655	ABRA	STARS	Q8N0Z2	protein-coding gene
HGNC:21230	ABRACL	Costars;HSPC280;PRO2013	Q9P1F3	protein-coding gene
HGNC:25829	ABRAXAS1	ABRAXAS;ABRA1;FLJ13614	Q6UWZ7	protein-coding gene
HGNC:28975	ABRAXAS2	ABRO1;Em:AC068896.4	Q15018	protein-coding gene
HGNC:17369	ABT1	Esf2	Q9ULW3	protein-coding gene
HGNC:18275	ABTB1	Btb3;BPOZ-2;BPOZ;EF1ABP;BTBD21	Q969K4	protein-coding gene
HGNC:23842	ABTB2	DKFZP586C1619;BTBD22;ABTB2A	Q8N961	protein-coding gene
HGNC:23844	ABTB3	FLJ33957;ABTB2B	A6QL63	protein-coding gene
HGNC:82	ACAA1	Lnc-Myd88	P09110	protein-coding gene
HGNC:83	ACAA2	DSAEC	P42765	protein-coding gene
HGNC:84	ACACA	hACC1;ACC1;ACC-alpha;ACCalpha;Acac1;ACACalpha;ACCA	Q13085	protein-coding gene
HGNC:85	ACACB	ACACbeta;ACC-beta;ACCbeta;ACC2;HACC275;ACCB	O00763	protein-coding gene
HGNC:21597	ACAD10	MGC5601	Q6JQN1	protein-coding gene
HGNC:30211	ACAD11	FLJ12592	Q709F0	protein-coding gene
HGNC:87	ACAD8	not-available	Q9UKU7	protein-coding gene
HGNC:21497	ACAD9	MGC14452;NPD002	Q9H845	protein-coding gene
HGNC:88	ACADL	ACAD4;LCAD	P28330	protein-coding gene
HGNC:89	ACADM	MCAD;MCADH;ACAD1	P11310	protein-coding gene
HGNC:90	ACADS	SCAD;ACAD3	P16219	protein-coding gene
HGNC:91	ACADSB	SBCAD;ACAD7	P45954	protein-coding gene
HGNC:92	ACADVL	VLCAD;ACAD6;LCACD	P49748	protein-coding gene
HGNC:319	ACAN	CSPGCP	P16112	protein-coding gene
HGNC:16467	ACAP1	KIAA0050	Q15027	protein-coding gene
HGNC:16469	ACAP2	KIAA0041;CNT-B2	Q15057	protein-coding gene
HGNC:16754	ACAP3	KIAA1716	Q96P50	protein-coding gene
HGNC:93	ACAT1	THIL	P24752	protein-coding gene
HGNC:94	ACAT2	not-available	Q9BWD1	protein-coding gene
HGNC:15453	ACBD3	PAP7;GCP60	Q9H3P7	protein-coding gene
HGNC:23337	ACBD4	FLJ13322	Q8NC06	protein-coding gene
HGNC:23338	ACBD5	KIAA1996;DKFZp434A2417	Q5T8D3	protein-coding gene
HGNC:23339	ACBD6	MGC2404	Q9BR61	protein-coding gene
HGNC:17715	ACBD7	bA455B2.2;FLJ38219	Q8N6N7	protein-coding gene
HGNC:23989	ACCS	ACS;PHACS	Q96QU6	protein-coding gene
HGNC:34391	ACCSL	not-available	Q4AC99	protein-coding gene
HGNC:25070	ACD	Tint1;Ptop;Pip1;Tpp1	Q96AP0	protein-coding gene
HGNC:2707	ACE	ACE1;CD143	P12821	protein-coding gene
HGNC:13557	ACE2	ACEH	Q9BYF1	protein-coding gene
HGNC:18356	ACER1	not-available	Q8TDN7	protein-coding gene
HGNC:23675	ACER2	FLJ41587;ALKCDase2	Q5QJU3	protein-coding gene
HGNC:16066	ACER3	FLJ11238;APHC	Q9NUN7	protein-coding gene
HGNC:108	ACHE	not-available	P22303	protein-coding gene
HGNC:17066	ACIN1	KIAA0670;fSAP152	Q9UKV3	protein-coding gene
HGNC:4035	ACKR1	GPD;Dfy;CD234;CCBP1	Q16570	protein-coding gene
HGNC:1565	ACKR2	CCR9;D6;CCR10	O00590	protein-coding gene
HGNC:23692	ACKR3	RDC1;GPR159	P25106	protein-coding gene
HGNC:1611	ACKR4	VSHK1;PPR1;CCBP2;CCR11;CCX-CKR	Q9NPB9	protein-coding gene
HGNC:115	ACLY	ATPCL;CLATP;ACL	P53396	protein-coding gene
HGNC:19288	ACMSD	not-available	Q8TDX5	protein-coding gene
HGNC:117	ACO1	IRP1;IREBP	P21399	protein-coding gene
HGNC:118	ACO2	ACONM	Q99798	protein-coding gene
HGNC:33904	ACOD1	CAD	A6NK06	protein-coding gene
HGNC:33128	ACOT1	CTE-1;LACH2;ACH2	Q86TX2	protein-coding gene
HGNC:18156	ACOT11	KIAA0707;BFIT1;THEM1;BFIT;STARD14	Q8WXI4	protein-coding gene
HGNC:24436	ACOT12	Cach;THEAL;STARD15	Q8WYK0	protein-coding gene
HGNC:20999	ACOT13	HT012	Q9NPJ3	protein-coding gene
HGNC:18431	ACOT2	ZAP128;Mte1	P49753	protein-coding gene
HGNC:19748	ACOT4	PTE2B;FLJ31235;PTE-Ib	Q8N9L9	protein-coding gene
HGNC:33159	ACOT6	not-available	Q3I5F7	protein-coding gene
HGNC:24157	ACOT7	BACH;hBACH;LACH1;ACT;MGC1126;CTE-II;ACH1	O00154	protein-coding gene
HGNC:15919	ACOT8	PTE-2;hTE;NAP1;hACTE-III	O14734	protein-coding gene
HGNC:17152	ACOT9	ACATE2;CGI-16;MT-ACT48	Q9Y305	protein-coding gene
HGNC:119	ACOX1	PALMCOX	Q15067	protein-coding gene
HGNC:120	ACOX2	THCCox;BRCACOX;BRCOX	Q99424	protein-coding gene
HGNC:121	ACOX3	not-available	O15254	protein-coding gene
HGNC:25621	ACOXL	ACOX4;FLJ11042	Q9NUZ1	protein-coding gene
HGNC:122	ACP1	LMWPTP;HAAP;LMW-PTP	P24666	protein-coding gene
HGNC:123	ACP2	LAP	P11117	protein-coding gene
HGNC:125	ACP3	TM-PAP;PAP;ACP-3	P15309	protein-coding gene
HGNC:14376	ACP4	not-available	Q9BZG2	protein-coding gene
HGNC:124	ACP5	TRAcP;HPAP;TRAP	P13686	protein-coding gene
HGNC:29609	ACP6	LPAP;ACPL1	Q9NPH0	protein-coding gene
HGNC:33781	ACP7	PAPL1;PAPL;FLJ16165	Q6ZNF0	protein-coding gene
HGNC:126	ACR	not-available	P10323	protein-coding gene
HGNC:17195	ACRBP	SP32;OY-TES-1;CT23	Q8NEB7	protein-coding gene
HGNC:127	ACRV1	SP-10;SPACA2;D11S4365	P26436	protein-coding gene
HGNC:29567	ACSBG1	BGM;KIAA0631;FLJ30320;MGC14352;BG1;hsBG;hBG1	Q96GR2	protein-coding gene
HGNC:24174	ACSBG2	DKFZp434K1635;BGR;PRTD-NY3	Q5FVE4	protein-coding gene
HGNC:26101	ACSF2	FLJ20920;ACSMW	Q96CM8	protein-coding gene
HGNC:27288	ACSF3	not-available	Q4G176	protein-coding gene
HGNC:3569	ACSL1	FACL1;LACS2;ACS1;LACS;LACS1	P33121	protein-coding gene
HGNC:3570	ACSL3	PRO2194;ACS3	O95573	protein-coding gene
HGNC:3571	ACSL4	LACS4;ACS4	O60488	protein-coding gene
HGNC:16526	ACSL5	ACS2;ACS5	Q9ULC5	protein-coding gene
HGNC:16496	ACSL6	ACS2;LACS2;LACS5;KIAA0837	Q9UKU0	protein-coding gene
HGNC:18049	ACSM1	MACS1	Q08AH1	protein-coding gene
HGNC:32017	ACSM2A	A-923A4.1;MGC150530	Q08AH3	protein-coding gene
HGNC:30931	ACSM2B	HXMA;HYST1046	Q68CK6	protein-coding gene
HGNC:10522	ACSM3	SA	Q53FZ2	protein-coding gene
HGNC:32016	ACSM4	not-available	P0C7M7	protein-coding gene
HGNC:26060	ACSM5	FLJ20581	Q6NUN0	protein-coding gene
HGNC:31665	ACSM6	bA310E22.3	Q6P461	protein-coding gene
HGNC:16091	ACSS1	dJ568C11.3;MGC33843;AceCS2L	Q9NUB1	protein-coding gene
HGNC:15814	ACSS2	ACS;AceCS;ACSA;dJ1161H23.1	Q9NR19	protein-coding gene
HGNC:24723	ACSS3	FLJ21963	Q9H6R3	protein-coding gene
HGNC:129	ACTA1	NEM3	P68133	protein-coding gene
HGNC:130	ACTA2	ACTSA	P62736	protein-coding gene
HGNC:132	ACTB	not-available	P60709	protein-coding gene
HGNC:17780	ACTBL2	DKFZp686D0972	Q562R1	protein-coding gene
HGNC:143	ACTC1	CMD1R	P68032	protein-coding gene
HGNC:144	ACTG1	not-available	P63261	protein-coding gene
HGNC:145	ACTG2	ACTSG	P63267	protein-coding gene
HGNC:16127	ACTL10	not-available	Q5JWF8	protein-coding gene
HGNC:24124	ACTL6A	BAF53A;Arp4;Actl6;INO80K;Baf53a;SMARCN1	O96019	protein-coding gene
HGNC:160	ACTL6B	SMARCN2;BAF53B	O94805	protein-coding gene
HGNC:161	ACTL7A	not-available	Q9Y615	protein-coding gene
HGNC:162	ACTL7B	Tact1	Q9Y614	protein-coding gene
HGNC:24018	ACTL8	CT57	Q9H568	protein-coding gene
HGNC:28494	ACTL9	MGC33407	Q8TC94	protein-coding gene
HGNC:24758	ACTMAP	FLJ41131	Q5BKX5	protein-coding gene
HGNC:163	ACTN1	not-available	P12814	protein-coding gene
HGNC:164	ACTN2	not-available	P35609	protein-coding gene
HGNC:165	ACTN3	not-available	Q08043	protein-coding gene
HGNC:166	ACTN4	not-available	O43707	protein-coding gene
HGNC:17372	ACTR10	HARP11;Arp10;ACTR11;Arp11	Q9NZ32	protein-coding gene
HGNC:167	ACTR1A	Arp1A;ARP1	P61163	protein-coding gene
HGNC:168	ACTR1B	Arp1B	P42025	protein-coding gene
HGNC:169	ACTR2	ARP2	P61160	protein-coding gene
HGNC:170	ACTR3	ARP3	P61158	protein-coding gene
HGNC:17256	ACTR3B	ARP11;ARP3beta	Q9P1U1	protein-coding gene
HGNC:37282	ACTR3C	ARP11	Q9C0K3	protein-coding gene
HGNC:14671	ACTR5	Arp5;INO80M;FLJ12785	Q9H9F9	protein-coding gene
HGNC:24025	ACTR6	FLJ13433;ARP6	Q9GZN1	protein-coding gene
HGNC:14672	ACTR8	INO80N;ARP8	Q9H981	protein-coding gene
HGNC:24027	ACTRT1	ARIP1;AIP1;Arp-T1;KIAA0705	Q8TDG2	protein-coding gene
HGNC:24026	ACTRT2	Arp-T2;ARPM2;FLJ25424	Q8TDY3	protein-coding gene
HGNC:24022	ACTRT3	ARPM1	Q9BYD9	protein-coding gene
HGNC:171	ACVR1	SKR1;ALK2;ACVR1A	Q04771	protein-coding gene
HGNC:172	ACVR1B	ALK4;SKR2;ActRIB	P36896	protein-coding gene
HGNC:18123	ACVR1C	ALK7;ACVRLK7	Q8NER5	protein-coding gene
HGNC:173	ACVR2A	ACTRII	P27037	protein-coding gene
HGNC:174	ACVR2B	ActR-IIB	Q13705	protein-coding gene
HGNC:175	ACVRL1	ALK1;HHT;HHT2	P37023	protein-coding gene
HGNC:177	ACY1	not-available	Q03154	protein-coding gene
HGNC:24104	ACY3	MGC9740;ACY-3;HCBP1	Q96HD9	protein-coding gene
HGNC:179	ACYP1	not-available	P07311	protein-coding gene
HGNC:180	ACYP2	not-available	P14621	protein-coding gene
HGNC:186	ADA	ADA1	P00813	protein-coding gene
HGNC:1839	ADA2	ADGF	Q9NZK5	protein-coding gene
HGNC:30713	ADAD1	Tenr	Q96M93	protein-coding gene
HGNC:30714	ADAD2	FLJ00337;TENRL	Q8NCV1	protein-coding gene
HGNC:31853	ADAL	not-available	Q6DHV7	protein-coding gene
HGNC:188	ADAM10	CD156C;HsT18717;kuz;MADM	O14672	protein-coding gene
HGNC:189	ADAM11	not-available	O75078	protein-coding gene
HGNC:190	ADAM12	MCMPMltna;MLTN	O43184	protein-coding gene
HGNC:193	ADAM15	MDC15	Q13444	protein-coding gene
HGNC:195	ADAM17	cSVP;CD156B	P78536	protein-coding gene
HGNC:196	ADAM18	ADAM27;tMDCIII	Q9Y3Q7	protein-coding gene
HGNC:197	ADAM19	MLTNB	Q9H013	protein-coding gene
HGNC:198	ADAM2	PH-30b;PH30;CT15	Q99965	protein-coding gene
HGNC:199	ADAM20	not-available	O43506	protein-coding gene
HGNC:200	ADAM21	ADAM31	Q9UKJ8	protein-coding gene
HGNC:201	ADAM22	MDC2	Q9P0K1	protein-coding gene
HGNC:202	ADAM23	MDC3	O75077	protein-coding gene
HGNC:206	ADAM28	ADAM23;eMDCII;MDC-Ls;MDC-Lm	Q9UKQ2	protein-coding gene
HGNC:207	ADAM29	svph1;CT73	Q9UKF5	protein-coding gene
HGNC:208	ADAM30	svph4	Q9UKF2	protein-coding gene
HGNC:15479	ADAM32	not-available	Q8TC27	protein-coding gene
HGNC:15478	ADAM33	dJ964F7.1;DKFZp434K0521	Q9BZ11	protein-coding gene
HGNC:212	ADAM5	tMDCII	Q6NVV9	pseudogene
HGNC:214	ADAM7	EAPI;GP-83	Q9H2U9	protein-coding gene
HGNC:215	ADAM8	CD156;MS2;CD156A	P78325	protein-coding gene
HGNC:216	ADAM9	Mltng;KIAA0021;MCMP;MDC9	Q13443	protein-coding gene
HGNC:16299	ADAMDEC1	M12.219	O15204	protein-coding gene
HGNC:217	ADAMTS1	C3-C5;METH1;KIAA1346	Q9UHI8	protein-coding gene
HGNC:13201	ADAMTS10	ADAM-TS10	Q9H324	protein-coding gene
HGNC:14605	ADAMTS12	not-available	P58397	protein-coding gene
HGNC:1366	ADAMTS13	VWFCP;MGC118899;MGC118900;FLJ42993;DKFZp434C2322;vWF-CP;TTP	Q76LX8	protein-coding gene
HGNC:14899	ADAMTS14	not-available	Q8WXS8	protein-coding gene
HGNC:16305	ADAMTS15	not-available	Q8TE58	protein-coding gene
HGNC:17108	ADAMTS16	ADAMTS16s	Q8TE57	protein-coding gene
HGNC:17109	ADAMTS17	FLJ16363;FLJ32769	Q8TE56	protein-coding gene
HGNC:17110	ADAMTS18	not-available	Q8TE60	protein-coding gene
HGNC:17111	ADAMTS19	not-available	Q8TE59	protein-coding gene
HGNC:218	ADAMTS2	PCINP;ADAMTS-3;hPCPNI;NPI;ADAM-TS2	O95450	protein-coding gene
HGNC:17178	ADAMTS20	GON-1	P59510	protein-coding gene
HGNC:219	ADAMTS3	ADAMTS-4;KIAA0366	O15072	protein-coding gene
HGNC:220	ADAMTS4	ADAMTS-2;KIAA0688;ADMP-1	O75173	protein-coding gene
HGNC:221	ADAMTS5	ADAMTS11;ADMP-2	Q9UNA0	protein-coding gene
HGNC:222	ADAMTS6	ADAM-TS6	Q9UKP5	protein-coding gene
HGNC:223	ADAMTS7	DKFZp434H204;ADAM-TS7	Q9UKP4	protein-coding gene
HGNC:224	ADAMTS8	FLJ41712;METH2;ADAM-TS8	Q9UP79	protein-coding gene
HGNC:13202	ADAMTS9	KIAA1312	Q9P2N4	protein-coding gene
HGNC:14632	ADAMTSL1	FLJ35283;ADAMTSR1	Q8N6G6	protein-coding gene
HGNC:14631	ADAMTSL2	KIAA0605	Q86TH1	protein-coding gene
HGNC:14633	ADAMTSL3	KIAA1233;punctin-2	P82987	protein-coding gene
HGNC:19706	ADAMTSL4	DKFZP434K1772	Q6UY14	protein-coding gene
HGNC:32041	ADAMTSL4-AS1	FLJ45786	Q5T5F5	non-coding RNA
HGNC:27912	ADAMTSL5	not-available	Q6ZMM2	protein-coding gene
HGNC:16486	ADAP1	GCS1L	O75689	protein-coding gene
HGNC:16487	ADAP2	not-available	Q9NPF8	protein-coding gene
HGNC:225	ADAR	ADAR1;DRADA	P55265	protein-coding gene
HGNC:226	ADARB1	RED1;ADAR2a;DRABA2;ADAR2d;ADAR2c;ADAR2b;ADAR2;ADAR2a-L1;hRED1;ADAR2g;ADAR2a-L3;DRADA2;ADAR2a-L2	P78563	protein-coding gene
HGNC:227	ADARB2	RED2;hRED2;ADAR3	Q9NS39	protein-coding gene
HGNC:23299	ADARB2-AS1	bA466B20.1	A8MUL3	non-coding RNA
HGNC:228	ADAT1	not-available	Q9BUB4	protein-coding gene
HGNC:21172	ADAT2	TAD2;dJ20N2.1	Q7Z6V5	protein-coding gene
HGNC:25151	ADAT3	TAD3	Q96EY9	protein-coding gene
HGNC:19038	ADCK1	FLJ39600	Q86TW2	protein-coding gene
HGNC:19039	ADCK2	MGC20727	Q7Z695	protein-coding gene
HGNC:21738	ADCK5	FLJ35454	Q3MIX3	protein-coding gene
HGNC:232	ADCY1	AC1	Q08828	protein-coding gene
HGNC:21285	ADCY10	Sacy;SAC;RP1-313L4.2;HCA2;SACI	Q96PN6	protein-coding gene
HGNC:233	ADCY2	HBAC2;KIAA1060;AC2	Q08462	protein-coding gene
HGNC:234	ADCY3	AC3	O60266	protein-coding gene
HGNC:235	ADCY4	AC4	Q8NFM4	protein-coding gene
HGNC:236	ADCY5	AC5	O95622	protein-coding gene
HGNC:237	ADCY6	AC6	O43306	protein-coding gene
HGNC:238	ADCY7	AC7;KIAA0037	P51828	protein-coding gene
HGNC:239	ADCY8	AC8;HBAC1	P40145	protein-coding gene
HGNC:240	ADCY9	AC9	O60503	protein-coding gene
HGNC:241	ADCYAP1	PACAP	P18509	protein-coding gene
HGNC:242	ADCYAP1R1	PACAPR;PAC1;PAC1R	P41586	protein-coding gene
HGNC:243	ADD1	not-available	P35611	protein-coding gene
HGNC:244	ADD2	ADDB	P35612	protein-coding gene
HGNC:245	ADD3	not-available	Q9UEY8	protein-coding gene
HGNC:21212	ADGB	CAPN16;FLJ23121;dJ408K24.1	Q8N7X0	protein-coding gene
HGNC:13838	ADGRA1	KIAA1828	Q86SQ6	protein-coding gene
HGNC:17849	ADGRA2	KIAA1531;FLJ14390;TEM5;DKFZp434J0911;DKFZp434C211	Q96PE1	protein-coding gene
HGNC:13839	ADGRA3	FLJ38547;PGR21	Q8IWK6	protein-coding gene
HGNC:943	ADGRB1	not-available	O14514	protein-coding gene
HGNC:944	ADGRB2	not-available	O60241	protein-coding gene
HGNC:945	ADGRB3	KIAA0550	O60242	protein-coding gene
HGNC:19893	ADGRD1	PGR25;DKFZp434B1272	Q6QNK2	protein-coding gene
HGNC:18651	ADGRD2	PGR24	Q7Z7M1	protein-coding gene
HGNC:3336	ADGRE1	not-available	Q14246	protein-coding gene
HGNC:3337	ADGRE2	CD312	Q9UHX3	protein-coding gene
HGNC:23647	ADGRE3	not-available	Q9BY15	protein-coding gene
HGNC:19240	ADGRE4P	PGR16	Q86SQ3	pseudogene
HGNC:1711	ADGRE5	TM7LN1	P48960	protein-coding gene
HGNC:18990	ADGRF1	PGR19;hGPCR36	Q5T601	protein-coding gene
HGNC:18991	ADGRF2P	hGPCR35;PGR20	Q8IZF7	pseudogene
HGNC:18989	ADGRF3	PGR23;hGPCR37	Q8IZF5	protein-coding gene
HGNC:19011	ADGRF4	PGR18;FLJ38076	Q8IZF3	protein-coding gene
HGNC:19030	ADGRF5	KIAA0758;DKFZp564O1923	Q8IZF2	protein-coding gene
HGNC:4512	ADGRG1	TM7XN1;TM7LN4	Q9Y653	protein-coding gene
HGNC:4516	ADGRG2	EDDM6;TM7LN2;HE6	Q8IZP9	protein-coding gene
HGNC:13728	ADGRG3	Pb99;PGR26	Q86Y34	protein-coding gene
HGNC:18992	ADGRG4	PGR17;RP1-299I16	Q8IZF6	protein-coding gene
HGNC:19010	ADGRG5	PGR27	Q8IZF4	protein-coding gene
HGNC:13841	ADGRG6	FLJ14937	Q86SQ4	protein-coding gene
HGNC:19241	ADGRG7	FLJ14454	Q96K78	protein-coding gene
