,"chromatin,chromatin-binding,_or_-regulatory_protein",structural_protein,extracellular_matrix_protein,"defense,immunity_protein",metabolite_interconversion_enzyme,cell_adhesion_molecule,"scaffold,adaptor_protein",intercellular_signal_molecule,DNA_metabolism_protein,RNA_metabolism_protein,transmembrane_signal_receptor,cytoskeletal_protein,membrane_traffic_protein,transporter,gene-specific_transcriptional_regulator,protein-binding_activity_modulator,protein_modifying_enzyme,unclassified
Aliphatic,0.118,0.123,7.55e-116,0.0126,1.61e-07,2.27e-15,0.198,0.116,0.806,0.128,7.87e-19,0.108,0.785,4.08e-05,0.0539,0.263,3.92e-05,0.000294
Aromatic,1.16e-11,5.53e-05,0.92,0.0269,1.5e-25,0.303,1.17e-06,0.000802,0.00132,0.000149,7.95e-09,0.0101,0.00072,3.14e-27,1.82e-26,3.2e-15,3.21e-40,4.14e-89
Polar/Neutral,2.92e-13,0.0113,6.519999999999999e-68,0.000493,1.27e-11,2e-12,9.68e-08,2.94e-07,2.1e-12,1.31e-09,2.76e-12,2.57e-10,0.0342,1.29e-06,3.75e-18,2.92e-06,3.2200000000000003e-35,8.92e-78
Positively-Charged,1.48e-06,0.000259,8.24e-76,0.00527,1.2e-13,5.67e-14,0.55,0.000281,0.00932,5.21e-06,5.4e-09,0.243,0.000621,7.49e-08,6.31e-19,0.087,5.38e-06,1.91e-08
Negatively-Charged,0.95,0.00249,4.38e-05,0.484,0.16,1e-31,0.0738,0.0265,0.161,0.543,2.51e-06,1.59e-06,0.0164,0.141,0.00116,0.00605,0.0332,0.00153
Special,0.752,0.0126,0.0,1.67e-12,5.52e-33,3.13e-31,0.00119,1.57e-16,1.3e-05,0.642,8.52e-49,0.168,0.0226,1.88e-11,0.0228,0.0111,6.29e-28,5.2799999999999996e-40
Aliphatic>Aliphatic,8.72e-13,1.11e-08,2.21e-93,1.84e-05,1.24e-67,5.089999999999999e-34,1.31e-09,4.7e-09,4.35e-19,4.66e-08,2.11e-65,1.3700000000000001e-32,1.28e-07,7.81e-56,2.38e-14,1.1900000000000001e-29,2.6e-47,2.0300000000000002e-129
Aliphatic>Aromatic,0.0261,0.148,3.98e-07,0.411,0.107,0.125,0.129,0.522,0.772,0.0588,0.621,0.0917,0.154,0.216,0.0303,0.389,0.000412,1.23e-05
Aliphatic>Polar/Neutral,0.033,0.0436,8.830000000000001e-32,0.202,0.000214,1.54e-05,0.0421,0.222,0.691,0.393,6.32e-07,0.00727,0.0215,0.00296,0.055,0.0766,1.57e-06,9.68e-08
Aliphatic>Positively-Charged,1.93e-07,0.000418,0.0581,0.00365,5.07e-17,1.2e-05,2.91e-07,6.59e-05,3.49e-10,0.0016,2.8e-12,1.29e-15,0.000118,8.81e-15,1.53e-08,1.39e-26,7.75e-19,3.0899999999999997e-60
