,"chromatin,chromatin-binding,_or_-regulatory_protein",structural_protein,extracellular_matrix_protein,"defense,immunity_protein",metabolite_interconversion_enzyme,cell_adhesion_molecule,"scaffold,adaptor_protein",intercellular_signal_molecule,DNA_metabolism_protein,RNA_metabolism_protein,transmembrane_signal_receptor,cytoskeletal_protein,membrane_traffic_protein,transporter,gene-specific_transcriptional_regulator,protein-binding_activity_modulator,protein_modifying_enzyme,unclassified
Aliphatic>Negatively-Charged,0.844,0.0167,0.528,0.634,9.75e-10,0.000944,2.17e-05,0.225,0.00151,0.00403,2.2e-05,0.0338,0.00307,6.6e-10,0.016,2.94e-06,7.94e-09,1.86e-28
Aliphatic>Special,7.82e-06,0.000555,1.79e-06,0.0601,3.4e-21,0.00106,0.00128,0.00156,6.43e-08,0.00918,1.03e-14,9.080000000000001e-32,3.18e-07,1.07e-20,0.0019,3.71e-19,5.38e-15,3.91e-61
Aromatic>Aliphatic,0.381,0.105,0.103,0.84,0.0443,0.00179,0.138,1.0,0.304,0.121,0.481,0.925,1.0,0.0012,9.19e-07,5.48e-05,0.0038,0.000755
Aromatic>Aromatic,1.0,1.0,0.000295,0.788,0.0014,0.0935,1.0,0.0542,0.19,1.0,0.178,0.298,0.481,0.695,0.526,0.432,0.448,0.428
Aromatic>Polar/Neutral,0.00541,0.0365,0.463,1.0,2.34e-12,0.428,0.0959,0.144,0.047,0.000339,0.029,0.000142,0.01,2.36e-13,1.53e-08,1.62e-05,1.12e-18,1.28e-33
Aromatic>Positively-Charged,0.000752,0.00233,0.125,0.821,8.9e-05,0.312,0.0195,0.651,0.118,0.561,0.0719,0.434,0.467,0.00181,0.000763,0.00938,4.82e-06,4.48e-15
Aromatic>Negatively-Charged,0.0556,1.0,0.253,0.181,0.00123,1.0,0.714,0.462,0.239,0.394,0.00143,0.00617,0.481,0.000328,0.000768,0.0408,0.000677,4.87e-10
Aromatic>Special,1.32e-07,0.336,0.00805,5.43e-06,4.47e-15,9.33e-05,0.000351,8.82e-05,0.0882,0.146,1.02e-11,0.0806,0.00842,3.27e-10,3.45e-08,0.000961,1.52e-17,3.12e-49
Polar/Neutral>Aliphatic,1.73e-07,0.000101,1.98e-40,0.153,3.6e-12,2.23e-11,1.44e-06,2.22e-07,0.00243,0.018,1.9e-11,1.22e-07,1.3e-05,3.94e-08,8.22e-13,5.45e-06,2.66e-14,6.25e-58
Polar/Neutral>Aromatic,1.0,0.17,0.332,0.325,0.000314,1.0,0.716,1.0,0.0672,0.0759,0.69,0.0226,0.0374,8.23e-05,0.00435,0.0622,0.24,2.47e-07
Polar/Neutral>Polar/Neutral,6.99e-09,0.012,9.46e-17,0.00871,4.85e-14,7.93e-09,0.00483,0.000216,3.65e-10,3.97e-09,3.61e-08,5.17e-11,0.00411,8.36e-15,2.97e-16,5.65e-08,7.72e-26,8.93e-58
Polar/Neutral>Positively-Charged,0.923,0.107,1.71e-12,0.0021,0.116,0.927,0.649,0.258,0.035,0.244,0.72,0.299,0.0571,0.57,0.565,0.263,0.000911,0.00094
Polar/Neutral>Negatively-Charged,0.026,0.527,0.0133,0.0294,0.0947,0.183,0.273,0.137,0.276,0.49,0.0605,0.109,0.0506,1.0,0.743,0.111,0.00584,9.2e-06
Polar/Neutral>Special,0.106,0.695,2.68e-06,0.237,0.164,0.831,0.17,0.299,0.517,0.00166,0.78,0.676,0.14,0.656,7.36e-05,0.386,0.0777,0.109
Positively-Charged>Aliphatic,0.0366,1.0,0.103,0.336,1.69e-06,0.0969,0.0152,0.23,0.00429,0.00526,0.485,6.59e-08,0.618,4.59e-05,2.95e-05,0.00545,0.00103,3.61e-11
Positively-Charged>Aromatic,0.0108,0.793,3.37e-16,0.138,0.00117,0.902,0.00691,1.0,0.0118,0.0546,0.21,0.471,1.0,0.585,1.38e-07,0.0171,0.0819,0.967
Positively-Charged>Polar/Neutral,0.263,0.0449,5.8199999999999996e-30,0.297,2.52e-12,1.05e-08,0.000119,4.36e-05,0.536,0.323,2.15e-05,0.00988,0.0148,3.96e-09,0.0337,0.0904,1.84e-05,4.96e-19
Positively-Charged>Positively-Charged,0.121,7.01e-07,5.52e-40,0.000701,1.92e-26,3.55e-07,0.00953,6.59e-06,0.0035,1.0,2.71e-17,9.52e-06,7.26e-06,1.16e-16,0.000864,0.000325,3.6e-19,2.1799999999999999e-41
Positively-Charged>Negatively-Charged,0.00936,1.0,3.34e-05,1.0,1.0,0.000204,1.0,0.0313,0.76,0.279,0.901,0.575,0.216,0.814,0.00177,0.0281,0.927,0.0888
Positively-Charged>Special,5.7e-06,1.0,0.00344,0.639,0.00515,0.765,0.0154,0.0726,0.000314,0.000227,0.0725,4.06e-11,0.537,0.0731,3.26e-20,0.363,4.14e-06,1.14e-15
Negatively-Charged>Aliphatic,0.00961,0.819,0.695,0.0549,0.00247,3.38e-08,0.13,0.113,1.0,0.0542,0.316,7.1e-05,0.0239,0.000197,0.0193,0.0429,6.82e-05,3.65e-10
Negatively-Charged>Aromatic,1.0,0.0586,0.614,0.652,9.12e-09,1.43e-11,0.344,0.215,0.12,0.000555,2.71e-06,8.15e-05,0.202,3.63e-06,0.00702,0.0213,5.96e-06,1.73e-20
Negatively-Charged>Polar/Neutral,0.755,0.423,0.00575,1.0,0.00184,6.28e-08,0.0204,0.0423,1.0,0.521,0.642,0.138,0.868,0.606,0.0171,0.00216,0.0531,0.00848
Negatively-Charged>Positively-Charged,0.217,0.496,0.028,0.128,0.0179,9.81e-07,0.0342,0.725,0.737,0.167,6.26e-05,1.58e-10,0.0452,0.0206,0.455,0.923,0.0276,0.00699
Negatively-Charged>Negatively-Charged,9.88e-05,0.774,1.02e-07,0.0493,1.1e-05,0.413,1.0,0.162,0.0457,5.03e-06,0.383,0.00485,0.545,0.000165,1.55e-16,1.19e-09,2.68e-05,2.33e-17
Negatively-Charged>Special,1.0,0.00543,0.64,0.634,0.235,0.00015,0.112,0.49,0.0974,0.452,0.000221,0.243,0.546,0.337,0.416,0.901,0.0534,6.38e-05
Special>Aliphatic,0.0109,0.0215,9.2e-10,0.21,0.000113,0.0134,0.147,0.142,0.212,1.0,6.73e-05,0.523,1.0,0.517,0.000326,0.269,0.389,6.21e-05
Special>Aromatic,1.16e-08,0.0626,2.2999999999999998e-48,6.46e-08,1.35e-13,9.369999999999999e-23,1.53e-08,1.42e-11,8.65e-05,0.046,6.09e-25,0.0446,0.00189,0.00105,2.15e-09,7.09e-06,1.7000000000000002e-27,1.2199999999999999e-98
Special>Polar/Neutral,0.0206,0.0916,2.9e-05,0.038,0.276,0.878,0.425,0.0624,0.0862,9.32e-05,0.655,2.18e-05,0.169,0.00017,4.19e-10,0.000258,0.246,6.75e-09
Special>Positively-Charged,0.0321,0.798,9.55e-44,3.48e-07,3.87e-14,1.89e-13,0.00735,0.0566,0.00985,0.0289,1.82e-16,0.0011,0.209,1.12e-11,0.173,0.00079,1.88e-18,6.18e-29
Special>Negatively-Charged,0.889,0.0377,2.18e-71,0.553,8.76e-13,0.000331,0.0871,0.0158,0.00791,0.0383,6.28e-05,0.000723,0.00131,2.98e-11,0.578,0.0123,0.000582,1.48e-07
Special>Special,0.771,0.098,7.82e-29,0.181,1.34e-05,8e-07,0.00318,0.0001,0.0187,0.079,2.38e-10,0.0944,1.0,0.00021,0.0102,0.0033,6.24e-05,5.400000000000001e-32
Mild,2.36e-15,6.5e-12,4.08e-188,4.63e-12,2e-116,1.1900000000000001e-29,2.02e-11,8.880000000000001e-21,5.85e-16,1.68e-12,1.8500000000000002e-85,2.41e-55,1.36e-10,1.22e-76,1.74e-27,1.69e-40,2.22e-92,5.02e-231
Moderate,0.00778,0.869,4.59e-09,0.0441,0.814,7.81e-05,0.00539,0.000124,0.243,0.003,0.0267,0.171,0.879,0.0176,1.23e-18,0.83,4.36e-07,2.35e-20
Substantial,5.3e-11,1.63e-06,2.7899999999999998e-45,8.65e-06,3.65e-53,4.4e-11,1.39e-10,9.36e-08,2.25e-12,8.49e-15,2.76e-31,1.02e-39,2.13e-07,2.7900000000000003e-56,3.68e-49,1.61e-22,1.7899999999999997e-61,1.99e-117
Severe,1.46e-17,0.00328,4.7500000000000005e-86,5.36e-16,4.92e-43,1.28e-44,1.25e-11,2.6099999999999997e-23,1.19e-07,1.79e-10,6.629999999999999e-52,2.59e-08,0.000259,3.77e-31,4.3500000000000005e-31,2.06e-14,6.98e-66,4.2300000000000003e-237
B,0.63,0.0292,0.695,5.46e-06,0.00793,0.656,0.00104,0.247,0.34,0.0734,2.64e-07,0.627,0.374,0.891,0.000474,1.0,0.000278,2.23e-05
E,2.69e-17,5.43e-36,0.0019,0.339,1.6100000000000001e-35,0.785,3.04e-11,1e-11,1.66e-13,1.08e-18,6.53e-58,3.25e-12,3.67e-09,0.0223,4.3e-39,3.19e-16,3.1e-51,7.030000000000001e-179
G,0.000763,1.0,0.00017,0.412,0.0079,0.0565,0.00118,0.174,1.0,0.0918,9e-07,0.0495,0.0618,0.000711,7.56e-06,0.00326,0.0286,9.54e-13
H,3.97e-29,0.00273,1.5e-15,0.728,0.222,0.601,6.83e-11,0.000414,7.21e-08,1.37e-07,6.349999999999999e-30,6.5300000000000005e-31,3.48e-06,1.24e-69,1.03e-149,4.3e-15,1.62e-11,1.16e-72
I,0.383,1.0,1.0,0.0338,0.663,0.569,0.716,1.0,0.457,0.149,0.145,5.17e-05,0.177,1.45e-05,0.00154,0.629,3.19e-05,2.46e-11
P,1.0,0.00615,7.81e-14,0.616,2.55e-13,1.0,0.0184,0.834,0.000896,0.202,0.00643,8.47e-06,0.218,3e-12,0.0426,3.07e-08,0.000256,7.2e-18
C,2.63e-84,5.55e-37,0.000156,0.0333,1.32e-21,1.1e-06,1.7700000000000002e-35,0.000211,5.89e-38,2.9899999999999994e-42,1.26e-12,8.129999999999999e-106,1.43e-21,2.1100000000000002e-148,2.9099999999999997e-264,2.32e-55,1.16e-119,0.0
S,9.7e-05,0.00474,1.43e-06,0.756,0.000485,3.08e-06,0.0483,0.464,0.00908,0.0249,0.0456,0.492,0.0604,0.0519,0.0036,0.195,1.47e-06,2.34e-28
T,2.42e-09,0.00863,4.88e-17,0.639,0.749,0.0205,0.526,1.0,0.00955,0.0301,0.146,2.11e-07,0.0878,0.107,0.0382,0.00347,0.0381,7.18e-17
Core,4.33e-62,8.35e-39,0.0406,9.63e-18,4.5699999999999996e-279,2.08e-58,4.27e-39,5.4800000000000004e-27,1.86e-75,1.41e-52,1.21e-113,3.03e-57,2.61e-32,9.350000000000001e-192,1.36e-201,2.6499999999999998e-115,2.7e-253,0.0
Buried,1.6799999999999999e-46,9.38e-19,0.102,1.05e-05,2.1e-33,2.4e-18,1.93e-27,5.63e-08,1.43e-22,1.29e-25,3.96e-28,2.1499999999999997e-23,5.59e-19,8.7e-65,7.56e-151,6.44e-22,6e-79,6.31e-290
Medium-buried,0.000772,0.0326,1.29e-07,0.000431,2.34e-62,5.2e-09,0.85,0.000162,0.000244,0.96,2.28e-13,0.0964,0.851,2.45e-05,1.8299999999999997e-23,0.0161,1.06e-09,0.614
Medium-exposed,1.21e-58,5.55e-25,6.48e-72,2.18e-09,3.56e-237,3.12e-35,1.01e-34,5.57e-10,1.76e-63,2.9e-45,2.13e-84,3.1300000000000002e-27,1.3399999999999999e-25,2.07e-190,3.75e-155,1.49e-67,9.560000000000001e-213,0.0
Exposed,7.34e-27,3.5300000000000004e-36,4.24e-71,0.000358,2.4099999999999998e-92,1.0500000000000001e-32,7.44e-27,5.1e-11,1.33e-34,1.76e-20,4.62e-53,5.19e-73,3.33e-22,1.4100000000000002e-164,2.17e-167,5.47e-65,4.4e-138,0.0
Very high,6.87e-81,1.63e-81,0.0085,1.7e-10,1.19e-206,1.0899999999999999e-45,1.8900000000000001e-75,5.9e-31,5.16e-69,5.54e-49,3.82e-76,6.93e-81,4.84e-12,2.6900000000000002e-77,0.0,1.39e-107,8.39e-240,0.0
Confident,2.0000000000000002e-29,0.000239,2.39e-41,1.92e-27,6.87e-19,0.0456,0.0571,0.0102,0.00199,1.38e-07,0.00522,5.66e-13,5.2e-17,3.3500000000000003e-43,0.117,0.00741,0.0421,1.11e-58
Low,0.122,5.23e-14,0.323,0.931,4.9799999999999996e-42,1.46e-09,8.03e-06,5.48e-07,0.00556,0.133,3.92e-08,0.0595,0.00139,2.47e-12,4.2000000000000004e-32,7.77e-09,5.03e-05,1.1e-68
Very low,3.26e-161,1.47e-84,8.87e-25,6.32e-08,1.13e-182,1.6199999999999999e-46,1.52e-85,2.82e-17,8.75e-120,4.1400000000000003e-85,1.4000000000000002e-88,3.52e-244,7.21e-55,0.0,0.0,4.48e-157,0.0,0.0
HB_intra,2.86e-105,1.46e-85,0.0168,1.18e-14,4.5600000000000004e-181,4.7699999999999995e-42,5.5700000000000004e-64,1.32e-16,2.32e-102,4.18e-94,3.65e-34,0.0,3.62e-41,1.1800000000000001e-273,0.0,3.13e-142,0.0,0.0
SB_intra,3.7e-09,5.76e-08,2.89e-05,3.03e-07,2.26e-13,0.00314,1.5e-05,0.74,3.73e-09,2.08e-16,2.11e-31,3.33e-50,2.2e-10,6.32e-28,2.04e-28,4.49e-06,7.600000000000001e-31,7.619999999999999e-54
DS_intra,1.0,1.0,5.98e-12,2.21e-24,2.76e-08,8.52e-40,1.47e-07,2.47e-10,1.0,1.0,6.219999999999999e-52,1.0,0.0129,1.0,1.0,0.00339,1.2699999999999999e-24,4.39e-136
NB_intra,1.36e-109,6.33e-96,1.0,4.6900000000000004e-21,8.760000000000001e-194,3.04e-45,1.8e-70,1.37e-25,1.91e-109,5.58e-88,1.83e-41,0.0,2.3099999999999998e-39,3.31e-303,0.0,6.61e-158,0.0,0.0
HB_inter,1.37e-09,0.00891,0.222,9.69e-07,2.01e-15,4.6e-05,3.53e-10,8.270000000000001e-22,0.00455,3.8999999999999994e-23,1.59e-17,7.2800000000000005e-47,0.00225,1.42e-16,1.12e-11,3.77e-28,6.15e-46,5.03e-96
SB_inter,0.00136,0.163,0.505,0.0107,0.00214,0.048,0.000127,0.000191,0.00107,9.45e-09,0.000123,2.5e-19,7.81e-05,0.00019,0.00284,3.45e-10,6.83e-07,1.33e-38
DS_inter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.135
NB_inter,3.88e-10,0.00891,0.471,3.65e-09,1.2400000000000001e-27,1.08e-07,2.94e-09,1.01e-22,0.00396,2.98e-19,1.69e-26,2.12e-55,2.32e-05,1.74e-17,8.86e-14,1.04e-41,2.83e-51,1.8499999999999998e-98
Active site,1.0,1.0,1.0,1.0,8.99e-05,1.0,1.0,1.0,1.0,0.137,0.000878,1.0,1.0,0.605,1.0,1.0,3.89e-11,1.11e-08
Binding site,8.67e-10,0.0257,0.608,0.233,3.43e-31,8.48e-24,0.0502,0.0164,4.99e-16,5.14e-07,9.65e-20,1.93e-08,5.18e-14,1.13e-13,6.71e-12,1.2e-43,2.03e-46,2.9500000000000002e-77
Site,1.0,1.0,1.0,1.0,0.0653,1.0,0.0112,0.0172,0.549,1.0,0.288,1.0,0.111,0.492,0.0412,0.00107,7.08e-05,5.67e-20
DNA binding region,0.215,1.0,0.43,1.0,1.0,1.0,1.0,1.0,0.00045,0.437,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.000495
Zinc finger,6.06e-08,0.393,1.0,1.0,0.571,1.0,0.000263,1.0,1.37e-05,0.549,1.0,1.0,0.0666,1.0,3.47e-05,0.156,2.13e-13,1.1e-25
Region/Disordered,2.27e-93,1.09e-12,0.0511,1.36e-09,3.0499999999999998e-89,7.09e-05,2.47e-47,2.45e-06,1.9500000000000001e-47,1.1399999999999998e-52,1.03e-43,1.45e-124,4.85e-24,3.3799999999999997e-159,2.2800000000000003e-166,3.75e-116,4.82e-160,0.0
Region/Interaction,2.89e-08,0.0173,0.0301,0.00029,0.0936,0.234,7.47e-05,0.202,0.00273,1.42e-28,3.1600000000000003e-21,0.0265,0.609,5.11e-17,1.34e-85,0.00228,0.00562,1.15e-18
Region/Others,0.00022,4.55e-67,1.54e-43,3.75e-29,1.51e-06,4.82e-37,1.0,0.0123,0.000343,0.189,5.25e-46,2.29e-40,3.88e-07,1.35e-10,6.65e-15,0.00573,7.7e-08,3.09e-05
Motif,0.0246,1.0,0.0981,0.389,1.0,0.143,0.474,1.0,0.0106,0.00693,0.00947,0.00263,0.481,4.3e-06,5.95e-05,0.0101,0.00943,0.000834
Coiled coil,0.00259,1.43e-05,5.5e-12,0.106,0.00183,0.00732,0.113,0.234,0.611,0.0221,0.103,0.000627,1.36e-06,0.017,0.000133,1.63e-06,1.26e-11,9.5e-31
Compositional bias,4.42e-26,1.63e-05,0.0339,0.000357,3.76e-33,9.2e-08,5.06e-19,1.0,3.15e-31,1.01e-19,3.06e-15,2.01e-77,3.42e-09,1.0499999999999999e-55,1.65e-47,5.450000000000001e-43,8.49e-73,6.87e-291
Repeat,0.00072,4.1899999999999995e-24,1.41e-20,0.00944,9.24e-05,7.23e-14,4.81e-06,0.65,0.497,0.402,7.66e-11,2.48e-32,0.83,2.29e-83,0.000347,2.76e-12,5.31e-51,0.000695
Domain,5.07e-82,7.189999999999999e-52,0.00529,2.27e-28,1.78e-47,4.2e-17,1.92e-15,0.603,3.23e-23,6.990000000000001e-35,7.46e-184,1.08e-177,5e-20,2.11e-27,1.58e-106,7.77e-08,2.84e-265,4.27e-295
Topological domain,1.0,2.45e-44,1.27e-32,1.23e-34,5.7099999999999994e-30,0.0174,2.5e-16,6.93e-13,1.0,0.659,5.31e-13,1.8e-70,9.16e-08,5.27e-14,0.00391,2.2e-06,0.0279,8.22e-306
Transmembrane,1.0,2.51e-12,0.133,0.032,0.00352,0.126,0.00265,1.0,1.0,1.0,7.65e-22,5.03e-09,0.00204,8.449999999999999e-68,1.0,0.00482,1.94e-16,7.37e-100
Intramembrane,1.0,1.0,1.0,1.0,0.376,1.0,2.76e-05,1.0,1.0,1.0,8.46e-06,0.088,1.0,9.87e-29,1.0,1.0,1.0,1e-10
Signal peptide,1.0,0.789,0.00472,0.195,1.32e-06,0.00116,1.0,0.0103,0.118,1.0,0.000304,1.0,1.0,7.24e-10,0.299,0.249,0.276,1.0
Transit peptide,1.0,1.0,1.0,1.0,2.37e-13,1.0,0.501,1.0,0.344,0.00166,1.0,1.0,0.457,2.22e-06,0.299,0.356,0.267,0.021
Propeptide,1.0,1.12e-06,7.7e-06,0.185,1.11e-10,5.8e-06,0.342,8.66e-13,1.0,1.0,0.103,1.0,1.0,0.661,1.0,0.000613,1.86e-08,0.112
Peptide,1.0,1.0,1.0,0.106,1.0,1.0,1.0,0.0021,1.0,1.0,1.0,0.39,1.0,1.0,1.0,1.0,0.112,0.0821
Chain,0.517,0.0143,0.256,0.044,1.52e-21,1.4e-07,0.529,2.41e-06,0.0639,0.406,0.000276,0.162,1.0,6.62e-17,0.733,0.415,3.34e-08,0.0523
Lipidation,1.0,1.0,1.0,0.314,0.093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.542,1.0,0.259
Glycosylation,1.0,1.0,0.133,0.445,1.0,0.206,0.474,0.608,1.0,1.0,0.523,1.0,1.0,0.782,0.559,0.0558,0.63,0.11
Crosslinks,0.654,1.0,1.0,1.0,1.0,1.0,1.0,0.256,1.0,1.0,1.0,0.162,1.0,1.0,0.703,0.127,1.0,0.00628
Disulfide bond,1.0,6.78e-06,4.8699999999999996e-83,2.13e-21,1.67e-14,2.75e-50,6.62e-08,3.34e-20,1.0,0.262,1.54e-64,1.0,0.00589,8.03e-05,1.0,1.47e-06,7.11e-51,4.31e-193
Modified residue,0.0998,0.047,0.335,0.0942,1.0,0.441,0.316,0.163,0.549,0.0235,0.0299,0.000267,1.0,0.34,0.249,0.366,5.64e-12,7.56e-05
Acetylation,1.0,0.0604,0.00153,1.0,1.73e-09,0.441,0.729,0.256,0.0714,1.0,0.32,0.00871,0.357,0.195,0.0637,0.325,0.146,0.708
Methylation,0.215,1.0,1.0,0.556,0.0742,0.194,0.794,1.0,0.389,0.000144,1.0,0.00124,1.0,0.523,0.833,0.367,0.232,0.844
Phosphorylation,8.16e-06,0.0164,8.78e-12,0.000526,3.42e-20,9.33e-05,9.35e-10,0.0416,2.49e-10,1.39e-05,0.0399,0.576,0.00973,1.93e-11,4.15e-12,2.88e-11,4.49e-06,7.03e-55
SUMOylation,0.654,1.0,1.0,1.0,0.643,1.0,1.0,0.0656,0.0405,0.478,1.0,0.000804,0.481,0.287,0.0423,0.356,0.501,0.544
Ubiquitination,0.535,0.393,0.000111,0.185,4.01e-22,0.313,0.000364,0.0542,0.000183,0.312,1.0,0.161,0.631,1.39e-07,0.0686,0.758,0.00723,1.79e-14
O-GalNAc/GlcNAc,1.0,1.0,0.0172,1.0,0.37,0.586,0.501,0.0168,1.0,1.0,1.0,1.0,1.0,0.156,0.324,0.127,0.116,0.181
