,"chromatin,chromatin-binding,_or_-regulatory_protein",structural_protein,extracellular_matrix_protein,"defense,immunity_protein",metabolite_interconversion_enzyme,cell_adhesion_molecule,"scaffold,adaptor_protein",intercellular_signal_molecule,DNA_metabolism_protein,RNA_metabolism_protein,transmembrane_signal_receptor,cytoskeletal_protein,membrane_traffic_protein,transporter,gene-specific_transcriptional_regulator,protein-binding_activity_modulator,protein_modifying_enzyme,unclassified
NB_intra,6.96,12.14,,3.35,3.64,2.77,4.0,3.03,5.91,5.07,2.0,11.29,3.97,5.95,8.27,5.98,5.88,4.1
HB_inter,12.76,,,2.79,2.89,,11.97,24.72,,9.2,5.11,28.32,,6.16,3.27,6.75,6.71,7.55
SB_inter,,,,,,,,,,16.63,,23.03,,,,10.24,3.83,12.43
DS_inter,,,,,,,,,,,,,,,,,,
NB_inter,18.43,,,3.55,4.41,7.42,13.62,36.47,,7.28,6.58,19.72,6.13,4.44,3.64,10.71,7.01,6.95
Active site,,,,,,,,,,,,,,,,,19.06,440.33
Binding site,32.53,,,,5.63,79.95,,,7.69,13.48,54.93,5.24,52.66,7.03,25.62,37.82,38.28,32.11
Site,,,,,,,,,,,,,,,,,,14.05
DNA binding region,,,,,,,,,,,,,,,23.87,,,
Zinc finger,3.51,,,,,,,,5.56,,,,,,,,2.79,3.78
Region/Disordered,0.15,0.12,,0.06,0.08,,0.16,0.41,0.12,0.18,0.11,0.12,0.12,0.08,0.18,0.09,0.12,0.09
Region/Interaction,2.16,,,,,,,,,5.35,8.62,,,5.45,4.62,,,1.73
Region/Others,,0.06,2.42,0.1,1.44,0.12,,,,,6.73,0.54,2.21,0.41,2.21,,1.62,
Motif,,,,,,,,,,,,,,4.75,,,,
Coiled coil,,0.1,0.01,,,,,,,,,,0.37,,,0.18,0.16,0.43
Compositional bias,0.29,0.13,,,0.06,0.46,0.2,,0.1,0.27,0.13,0.1,0.16,0.07,0.28,0.09,0.13,0.12
Repeat,,0.11,0.03,,,2.62,1.82,,,,2.22,0.32,,4.09,,3.14,0.29,
Domain,11.85,5.73,,3.6,2.11,1.85,2.0,,3.18,3.65,5.22,5.14,3.09,2.12,4.29,1.48,4.28,3.01
Topological domain,,14.59,0.13,0.23,0.53,,2.81,2.4,,,1.49,14.52,1.83,0.72,,2.58,,2.94
Transmembrane,,22.28,,,,,,,,,0.55,11.82,,2.49,,,4.21,4.32
Intramembrane,,,,,,,,,,,54.93,,,6.5,,,,14.14
Signal peptide,,,,,0.4,,,,,,,,,0.13,,,,
Transit peptide,,,,,0.33,,,,,,,,,0.07,,,,
Propeptide,,9.47,0.45,,0.13,0.18,,0.28,,,,,,,,,0.45,
Peptide,,,,,,,,,,,,,,,,,,
Chain,,,,,2.63,2.66,,1.83,,,,,,9.48,,,1.78,
Lipidation,,,,,,,,,,,,,,,,,,
Glycosylation,,,,,,,,,,,,,,,,,,
Crosslinks,,,,,,,,,,,,,,,,,,
Disulfide bond,,22.28,118.75,24.91,38.86,89.61,13.62,22.94,,,23.36,,,,,37.82,79.12,214.2
Modified residue,,,,,,,,,,,,,,,,,5.21,
Acetylation,,,,,0.17,,,,,,,,,,,,,
Methylation,,,,,,,,,,,,,,,,,,
Phosphorylation,0.33,,0.09,,0.32,,0.25,,0.23,0.44,,,,0.33,0.45,0.32,0.6,0.35
SUMOylation,,,,,,,,,,,,,,,,,,
Ubiquitination,,,,,0.15,,,,,,,,,0.15,,,,0.38
O-GalNAc/GlcNAc,,,,,,,,,,,,,,,,,,
