,"chromatin,chromatin-binding,_or_-regulatory_protein",structural_protein,extracellular_matrix_protein,"defense,immunity_protein",metabolite_interconversion_enzyme,cell_adhesion_molecule,"scaffold,adaptor_protein",intercellular_signal_molecule,DNA_metabolism_protein,RNA_metabolism_protein,transmembrane_signal_receptor,cytoskeletal_protein,membrane_traffic_protein,transporter,gene-specific_transcriptional_regulator,protein-binding_activity_modulator,protein_modifying_enzyme,unclassified
Aliphatic,,,0.14,,0.8,0.53,,,,,0.64,,,,,,,
Aromatic,3.84,,,,2.38,,2.37,,,,1.69,,,2.93,2.96,3.08,3.07,2.72
Polar/Neutral,0.49,,0.17,,0.71,0.52,0.59,0.5,0.52,0.55,0.65,0.7,,0.77,0.62,0.7,0.54,0.58
Positively-Charged,1.6,,0.15,,0.69,0.46,,,,1.57,0.68,,,0.73,1.66,,0.79,0.85
Negatively-Charged,,,,,,3.72,,,,,1.55,1.38,,,,,,
Special,,,14.5,2.75,1.89,2.87,,2.79,1.57,,2.43,,,1.47,,,1.78,1.47
Aliphatic>Aliphatic,0.38,0.39,0.07,0.5,0.38,0.26,0.49,0.38,0.36,0.54,0.31,0.47,0.44,0.4,0.58,0.34,0.41,0.43
Aliphatic>Aromatic,,,0.16,,,,,,,,,,,,,,,1.49
Aliphatic>Polar/Neutral,,,0.15,,,0.52,,,,,0.64,,,,,,0.69,0.78
Aliphatic>Positively-Charged,10.1,,,,4.33,3.48,7.73,,7.69,,4.13,4.5,,3.84,3.04,17.02,4.97,4.95
Aliphatic>Negatively-Charged,,,,,3.08,,4.67,,,,2.43,,,3.21,,3.27,3.05,3.16
Aliphatic>Special,2.39,,0.38,,2.66,,,,2.64,,2.72,3.87,3.55,2.87,,3.9,2.24,2.52
Aromatic>Aliphatic,,,,,,,,,,,,,,,2.7,,,
Aromatic>Aromatic,,,,,,,,,,,,,,,,,,
Aromatic>Polar/Neutral,,,,,4.38,,,,,,,,,6.88,3.78,3.93,6.18,4.14
Aromatic>Positively-Charged,,,,,,,,,,,,,,,,,2.37,2.42
Aromatic>Negatively-Charged,,,,,,,,,,,,,,,,,,6.61
Aromatic>Special,7.21,,,5.96,3.56,,,,,,3.32,,,3.32,2.77,,3.94,3.91
Polar/Neutral>Aliphatic,0.4,,0.09,,0.54,0.35,0.4,0.3,,,0.49,0.59,0.36,0.59,0.49,0.53,0.51,0.42
Polar/Neutral>Aromatic,,,,,,,,,,,,,,,,,,1.7
Polar/Neutral>Polar/Neutral,0.32,,0.16,,0.46,0.34,,,0.3,0.31,0.48,0.46,,0.42,0.41,0.39,0.34,0.36
Polar/Neutral>Positively-Charged,,,0.23,,,,,,,,,,,,,,,
Polar/Neutral>Negatively-Charged,,,,,,,,,,,,,,,,,,0.6
Polar/Neutral>Special,,,0.38,,,,,,,,,,,,,,,
Positively-Charged>Aliphatic,,,,,2.49,,,,,,,3.01,,,,,,2.12
Positively-Charged>Aromatic,,,0.09,,,,,,,,,,,,2.32,,,
Positively-Charged>Polar/Neutral,,,0.11,,0.54,0.35,,,,,0.61,,,0.55,,,0.68,0.63
Positively-Charged>Positively-Charged,,0.23,0.06,,0.38,0.34,,0.29,,,0.33,0.63,0.31,0.39,,,0.41,0.46
Positively-Charged>Negatively-Charged,,,,,,,,,,,,,,,,,,
Positively-Charged>Special,2.38,,,,,,,,,,,1.99,,,2.84,,1.7,1.59
Negatively-Charged>Aliphatic,,,,,,6.36,,,,,,,,,,,,1.85
Negatively-Charged>Aromatic,,,,,9.83,38.89,,,,,6.78,,,9.94,,,4.3,4.88
Negatively-Charged>Polar/Neutral,,,,,,3.47,,,,,,,,,,,,
Negatively-Charged>Positively-Charged,,,,,,2.87,,,,,,2.11,,,,,,
Negatively-Charged>Negatively-Charged,,,0.15,,0.52,,,,,0.21,,,,,0.24,0.22,,0.47
Negatively-Charged>Special,,,,,,,,,,,,,,,,,,
Special>Aliphatic,,,1.91,,,,,,,,,,,,,,,
Special>Aromatic,15.89,,46.66,6.9,4.09,16.09,5.98,11.06,,,4.39,,,,2.92,3.51,5.92,6.49
Special>Polar/Neutral,,,,,,,,,,,,0.58,,,0.54,,,0.73
Special>Positively-Charged,,,5.5,4.38,2.25,3.81,,,,,2.56,,,2.23,,,2.57,1.88
Special>Negatively-Charged,,,17.06,,2.72,,,,,,,,,2.78,,,,1.51
Special>Special,,,40.57,,3.79,9.64,,,,,5.86,,,,,,,5.43
Mild,0.51,0.42,0.09,0.43,0.39,0.41,0.57,0.33,0.52,0.55,0.36,0.48,0.5,0.43,0.59,0.41,0.41,0.44
Moderate,,,0.69,,,,,,,,,,,,0.67,,0.82,0.81
Substantial,2.02,1.97,3.26,1.89,2.25,1.88,1.92,2.02,2.02,2.27,2.07,2.18,1.98,2.55,2.4,2.2,2.46,1.99
Severe,3.51,,10.09,4.25,2.64,5.43,2.37,5.1,2.04,2.52,3.01,1.55,,2.62,2.53,2.26,3.28,3.52
B,,,,26.72,,,,,,,5.85,,,,,,,2.06
E,4.92,7.64,,,1.95,,2.28,2.28,2.59,3.26,3.13,2.14,2.87,,3.51,2.17,2.47,2.99
G,,,,,,,,,,,2.13,,,,2.54,,,1.8
H,3.48,,0.21,,,,1.77,,1.61,1.61,0.57,1.99,1.66,2.2,3.97,1.72,1.4,1.63
I,,,,,,,,,,,,,,2.66,,,,4.21
P,,,2.25,,0.44,,,,,,,0.44,,0.39,,0.36,,0.55
C,0.17,0.2,,,0.65,0.64,0.34,,0.32,0.33,0.67,0.23,0.32,0.26,0.2,0.34,0.35,0.27
S,,,0.36,,,1.84,,,,,,,,,,,1.49,1.76
T,3.17,,0.15,,,,,,,,,1.94,,,,,,1.47
Core,13.91,14.88,,3.5,5.15,5.64,4.47,5.41,6.94,5.71,4.01,4.48,5.79,6.04,25.62,6.71,6.6,7.94
Buried,7.17,4.68,,1.82,1.79,2.4,3.17,2.08,2.84,3.18,1.88,2.35,3.65,2.57,7.03,2.23,2.79,3.43
Medium-buried,,,0.53,,0.45,0.55,,,,,0.66,,,0.8,1.79,,0.72,
Medium-exposed,0.22,0.24,4.6,0.42,0.16,0.24,0.32,0.47,0.17,0.27,0.29,0.5,0.26,0.2,0.27,0.24,0.19,0.25
Exposed,0.31,0.13,0.18,,0.22,0.19,0.27,0.38,0.22,0.39,0.25,0.17,0.21,0.13,0.21,0.2,0.18,0.18
Very high,8.48,15.51,,0.47,4.05,3.36,4.73,3.47,4.54,3.48,2.48,3.27,2.14,2.4,20.53,4.24,4.24,4.87
Confident,3.53,,0.16,3.82,0.58,,,,,1.64,,1.6,2.69,1.91,,,,1.61
Low,,0.21,,,0.24,0.3,0.52,0.48,,,0.62,,,0.58,0.4,0.45,,0.48
Very low,0.08,0.06,2.4,0.35,0.14,0.16,0.14,0.29,0.09,0.17,0.22,0.07,0.1,0.07,0.08,0.11,0.1,0.09
HB_intra,6.88,10.56,,2.58,3.37,2.67,3.71,2.36,5.39,5.35,1.83,9.85,4.05,5.15,8.15,5.24,5.08,3.96
SB_intra,3.46,7.5,,3.73,1.77,,2.32,,2.79,4.04,6.02,4.95,4.78,3.58,5.93,1.83,3.26,2.52
DS_intra,,,32.57,116.15,38.86,89.61,13.62,10.05,,,54.93,,,,,,74.53,440.33
