feature,log_OR,OR,q_value
PI:DS_intra,3.9254078737347955,50.67374233288622,2.8828367695573266e-179
AAchange:Special>Aromatic,2.053395820575587,7.794324343607306,5.127870356384334e-73
Grantham:Severe,1.3177236217440427,3.734909625893232,3.9490856467602063e-125
PI:NB_intra,1.129037450092753,3.092678209854109,4.978616980775588e-176
Domain:Domain,0.9556963670792259,2.600480841792408,2.5809896047280527e-132
RefAA:Special,0.9415158720531404,2.56386496535442,2.644513212493469e-94
RSA:Buried,0.7675119611084812,2.1543993506493506,2.333328244131218e-65
Domain:Chain,0.5459643873374134,1.726272375100187,6.371107424929883e-05
pLDDT:High,-0.1512661908971586,0.8596188454895463,0.0005066502167126
SS:C,-0.5677339900956099,0.5668083779723946,3.577557978144169e-36
