feature,log_OR,OR,q_value
Domain:Chain,1.7174129502527946,5.570099683358743,1.0530460601229745e-17
RefAA:Aliphatic,-0.15442454871783065,0.8569081445212191,2.9794898102846724e-07
Domain:Topological domain,-0.4881697321712841,0.613748691303573,1.0595296447149572e-63
Grantham:Mild,-0.9093848273865517,0.4027719220932308,1.8477702872172414e-196
AAchange:Aliphatic>Aliphatic,-1.0036201740777135,0.3665500612999313,5.596442412579765e-144
SS:C,-1.437048303098494,0.2376281307478326,0.0
RSA:Exposed,-2.4227294289994243,0.0886792431402343,0.0
pLDDT:Very low,-2.7655719737683273,0.0629400889706338,0.0
