feature,log_OR,OR,q_value
PI:NB_intra,1.830225750055851,6.235294117647059,7.202282386989092e-243
PI:HB_intra,1.6814834936153107,5.373521646200913,5.1569975495875783e-222
pLDDT:Very high,1.41394740060797,4.112155734484401,1.4866296774383982e-156
RefAA:Aromatic,1.27244609641044,3.569573412698413,6.420076721980128e-30
AAchange:Aromatic>Aliphatic,1.2359755354121098,3.4417344173441733,1.4323299903590024e-07
RSA:Buried,0.7810841371456969,2.1838385630773174,4.923977215817592e-32
SS:H,0.4982566162046775,1.6458494208494208,8.061630177844854e-19
Grantham:Mild,-0.983591019915025,0.3739657662249405,1.0478981442374257e-75
