score_col	pfes_value	p_case	p_control	presence_based
PFES	-21.147258	0.0	0.999988	False
PFES	-21.142524	0.0	0.999988	False
PFES	-21.137791	0.0	0.999988	False
PFES	-21.133057	0.0	0.999988	False
PFES	-21.128324	0.0	0.999988	False
PFES	-21.123591	0.0	0.999988	False
PFES	-21.118857	0.0	0.999988	False
PFES	-21.114124	0.0	0.999988	False
PFES	-21.10939	0.0	0.999988	False
PFES	-21.104657	0.0	0.999987	False
PFES	-21.099923	0.0	0.999987	False
PFES	-21.09519	0.0	0.999987	False
PFES	-21.090456	0.0	0.999987	False
PFES	-21.085723	0.0	0.999987	False
PFES	-21.080989	0.0	0.999987	False
PFES	-21.076256	0.0	0.999987	False
PFES	-21.071522	0.0	0.999987	False
PFES	-21.066789	0.0	0.999987	False
PFES	-21.062055	0.0	0.999987	False
PFES	-21.057322	0.0	0.999987	False
PFES	-21.052588	0.0	0.999987	False
PFES	-21.047855	0.0	0.999986	False
PFES	-21.043121	0.0	0.999986	False
PFES	-21.038388	0.0	0.999986	False
PFES	-21.033655	0.0	0.999986	False
PFES	-21.028921	0.0	0.999986	False
PFES	-21.024188	0.0	0.999986	False
PFES	-21.019454	0.0	0.999986	False
PFES	-21.014721	0.0	0.999986	False
PFES	-21.009987	0.0	0.999986	False
PFES	-21.005254	0.0	0.999986	False
PFES	-21.00052	0.0	0.999986	False
PFES	-20.995787	0.0	0.999986	False
PFES	-20.991053	0.0	0.999985	False
PFES	-20.98632	0.0	0.999985	False
PFES	-20.981586	0.0	0.999985	False
PFES	-20.976853	0.0	0.999985	False
PFES	-20.972119	0.0	0.999985	False
PFES	-20.967386	0.0	0.999985	False
PFES	-20.962652	0.0	0.999985	False
PFES	-20.957919	0.0	0.999985	False
PFES	-20.953185	0.0	0.999985	False
PFES	-20.948452	0.0	0.999985	False
PFES	-20.943719	0.0	0.999985	False
PFES	-20.938985	0.0	0.999985	False
PFES	-20.934252	0.0	0.999984	False
PFES	-20.929518	0.0	0.999984	False
PFES	-20.924785	0.0	0.999984	False
PFES	-20.920051	0.0	0.999984	False
PFES	-20.915318	0.0	0.999984	False
PFES	-20.910584	0.0	0.999984	False
PFES	-20.905851	0.0	0.999984	False
PFES	-20.901117	0.0	0.999984	False
PFES	-20.896384	0.0	0.999984	False
PFES	-20.89165	0.0	0.999984	False
PFES	-20.886917	0.0	0.999984	False
PFES	-20.882183	0.0	0.999984	False
PFES	-20.87745	0.0	0.999984	False
PFES	-20.872716	0.0	0.999983	False
PFES	-20.867983	0.0	0.999983	False
PFES	-20.86325	0.0	0.999983	False
PFES	-20.858516	0.0	0.999983	False
PFES	-20.853783	0.0	0.999983	False
PFES	-20.849049	0.0	0.999983	False
PFES	-20.844316	0.0	0.999983	False
PFES	-20.839582	0.0	0.999983	False
PFES	-20.834849	0.0	0.999983	False
PFES	-20.830115	0.0	0.999983	False
PFES	-20.825382	0.0	0.999983	False
PFES	-20.820648	0.0	0.999983	False
PFES	-20.815915	0.0	0.999983	False
PFES	-20.811181	0.0	0.999982	False
PFES	-20.806448	0.0	0.999982	False
PFES	-20.801714	0.0	0.999982	False
PFES	-20.796981	0.0	0.999982	False
PFES	-20.792247	0.0	0.999982	False
PFES	-20.787514	0.0	0.999982	False
PFES	-20.78278	0.0	0.999982	False
PFES	-20.778047	0.0	0.999982	False
